"Watershed","Year","WY","Month","Day","NO3_ueq_L","SO4_ueq_L","dates"
"WB",1992,1992,5,1,69.4,160,1992-05-01
"EB",1992,1992,5,2,8.6,105,1992-05-02
"WB",1992,1992,5,2,68,157,1992-05-02
"EB",1992,1992,5,3,8.5,104,1992-05-03
"WB",1992,1992,5,3,75,160,1992-05-03
"EB",1992,1992,5,4,8.3,104,1992-05-04
"WB",1992,1992,5,4,74.4,164,1992-05-04
"EB",1992,1992,5,5,8,104,1992-05-05
"EB",1992,1992,5,5,8,104,1992-05-05
"WB",1992,1992,5,5,73.7,164,1992-05-05
"WB",1992,1992,5,5,73.6,165,1992-05-05
"EB",1992,1992,5,5,7.5,102,1992-05-05
"WB",1992,1992,5,5,71.8,163,1992-05-05
"EB",1992,1992,5,6,7,102,1992-05-06
"WB",1992,1992,5,6,68.6,157,1992-05-06
"EB",1992,1992,5,7,6.6,105,1992-05-07
"WB",1992,1992,5,7,66.1,156,1992-05-07
"EB",1992,1992,5,8,6.1,103,1992-05-08
"WB",1992,1992,5,8,64.3,154,1992-05-08
"EB",1992,1992,5,9,5.9,103,1992-05-09
"EB",1992,1992,5,10,5.4,98,1992-05-10
"WB",1992,1992,5,10,69,156,1992-05-10
"EB",1992,1992,5,11,5,100,1992-05-11
"WB",1992,1992,5,11,69.5,156,1992-05-11
"WB",1992,1992,5,12,68.7,150,1992-05-12
"WB",1992,1992,5,12,68.8,152,1992-05-12
"EB",1992,1992,5,12,4.9,103,1992-05-12
"EB",1992,1992,5,12,4.7,107,1992-05-12
"WB",1992,1992,5,12,70.5,157,1992-05-12
"EB",1992,1992,5,13,4,107,1992-05-13
"WB",1992,1992,5,13,67.8,157,1992-05-13
"EB",1992,1992,5,14,3.6,107,1992-05-14
"WB",1992,1992,5,14,65.7,157,1992-05-14
"EB",1992,1992,5,15,3.1,106,1992-05-15
"WB",1992,1992,5,15,67.6,156,1992-05-15
"EB",1992,1992,5,16,2.5,107,1992-05-16
"WB",1992,1992,5,16,66.3,154,1992-05-16
"EB",1992,1992,5,17,2.3,109,1992-05-17
"WB",1992,1992,5,17,63.1,154,1992-05-17
"EB",1992,1992,5,18,2.2,108,1992-05-18
"WB",1992,1992,5,18,61.4,153,1992-05-18
"WB",1992,1992,5,19,60.5,154,1992-05-19
"EB",1992,1992,5,19,2.1,109,1992-05-19
"EB",1992,1992,5,19,2.1,110,1992-05-19
"EB",1992,1992,5,19,1.9,108,1992-05-19
"WB",1992,1992,5,19,59.1,152,1992-05-19
"EB",1992,1992,5,20,1.8,108,1992-05-20
"WB",1992,1992,5,20,55.6,149,1992-05-20
"EB",1992,1992,5,21,1.3,109,1992-05-21
"WB",1992,1992,5,21,52.7,152,1992-05-21
"EB",1992,1992,5,22,0.7,109,1992-05-22
"WB",1992,1992,5,22,47.6,149,1992-05-22
"EB",1992,1992,5,23,0.3,110,1992-05-23
"WB",1992,1992,5,23,40.7,143,1992-05-23
"EB",1992,1992,5,24,0.4,108,1992-05-24
"WB",1992,1992,5,24,38.6,143,1992-05-24
"EB",1992,1992,5,25,0.05,105,1992-05-25
"WB",1992,1992,5,25,41.1,147,1992-05-25
"EB",1992,1992,5,26,0.05,109,1992-05-26
"WB",1992,1992,5,26,41,146,1992-05-26
"WB",1992,1992,5,26,41.1,145,1992-05-26
"EB",1992,1992,5,26,0.05,105,1992-05-26
"WB",1992,1992,5,26,40,145,1992-05-26
"EB",1992,1992,5,27,0.05,108,1992-05-27
"WB",1992,1992,5,27,36.6,139,1992-05-27
"EB",1992,1992,5,28,0.6,106,1992-05-28
"WB",1992,1992,5,28,35,144,1992-05-28
"EB",1992,1992,5,29,0.05,110,1992-05-29
"WB",1992,1992,5,29,31.6,143,1992-05-29
"EB",1992,1992,5,30,0.05,110,1992-05-30
"WB",1992,1992,5,30,28.2,143,1992-05-30
"EB",1992,1992,5,31,0.05,108,1992-05-31
"WB",1992,1992,5,31,25.5,143,1992-05-31
"EB",1992,1992,6,1,0.7,109,1992-06-01
"WB",1992,1992,6,1,24.3,143,1992-06-01
"EB",1992,1992,6,2,0.05,103,1992-06-02
"EB",1992,1992,6,2,0.3,108,1992-06-02
"WB",1992,1992,6,2,22.6,140,1992-06-02
"WB",1992,1992,6,2,23.1,141,1992-06-02
"EB",1992,1992,6,5,0.9,100,1992-06-05
"WB",1992,1992,6,5,17,143,1992-06-05
"EB",1992,1992,6,6,0.05,107,1992-06-06
"WB",1992,1992,6,6,29.4,136,1992-06-06
"EB",1992,1992,6,6,2.8,100,1992-06-06
"WB",1992,1992,6,6,45.2,146,1992-06-06
"EB",1992,1992,6,6,3,100,1992-06-06
"WB",1992,1992,6,6,57.4,150,1992-06-06
"EB",1992,1992,6,6,2.6,101,1992-06-06
"WB",1992,1992,6,6,58.1,149,1992-06-06
"EB",1992,1992,6,7,0.4,104,1992-06-07
"WB",1992,1992,6,7,57,151,1992-06-07
"EB",1992,1992,6,8,0.05,106,1992-06-08
"WB",1992,1992,6,8,47.1,151,1992-06-08
"EB",1992,1992,6,9,0.05,104,1992-06-09
"WB",1992,1992,6,9,37.4,152,1992-06-09
"WB",1992,1992,6,9,37.3,151,1992-06-09
"EB",1992,1992,6,12,0.05,106,1992-06-12
"WB",1992,1992,6,12,18.1,148,1992-06-12
"EB",1992,1992,6,14,0.3,108,1992-06-14
"WB",1992,1992,6,14,13.1,148,1992-06-14
"WB",1992,1992,6,16,11.5,146,1992-06-16
"WB",1992,1992,6,16,11.4,145,1992-06-16
"EB",1992,1992,6,16,0.05,110,1992-06-16
"EB",1992,1992,6,20,0.7,109,1992-06-20
"EB",1992,1992,6,21,0.5,105,1992-06-21
"WB",1992,1992,6,21,5.3,139,1992-06-21
"WB",1992,1992,6,22,19.7,137,1992-06-22
"WB",1992,1992,6,22,43.4,147,1992-06-22
"WB",1992,1992,6,22,62.6,157,1992-06-22
"WB",1992,1992,6,23,70.1,162,1992-06-23
"WB",1992,1992,6,23,68.3,164,1992-06-23
"EB",1992,1992,6,23,0.05,102,1992-06-23
"EB",1992,1992,6,23,0.4,100,1992-06-23
"WB",1992,1992,6,23,66,160,1992-06-23
"WB",1992,1992,6,23,67.2,163,1992-06-23
"EB",1992,1992,6,24,0.05,103,1992-06-24
"WB",1992,1992,6,24,50.1,157,1992-06-24
"EB",1992,1992,6,25,0.05,95,1992-06-25
"WB",1992,1992,6,25,40.2,149,1992-06-25
"EB",1992,1992,6,25,0.4,99,1992-06-25
"WB",1992,1992,6,25,49.9,154,1992-06-25
"EB",1992,1992,6,25,0.9,96,1992-06-25
"WB",1992,1992,6,25,62,161,1992-06-25
"EB",1992,1992,6,25,0.5,97,1992-06-25
"WB",1992,1992,6,25,71.5,159,1992-06-25
"EB",1992,1992,6,25,0.6,98,1992-06-25
"WB",1992,1992,6,25,75.6,165,1992-06-25
"EB",1992,1992,6,25,0.9,98,1992-06-25
"WB",1992,1992,6,25,75.7,164,1992-06-25
"EB",1992,1992,6,25,0.4,97,1992-06-25
"WB",1992,1992,6,25,76.8,167,1992-06-25
"EB",1992,1992,6,26,0.05,98,1992-06-26
"WB",1992,1992,6,26,76,166,1992-06-26
"EB",1992,1992,6,26,0.05,98,1992-06-26
"WB",1992,1992,6,26,69.4,165,1992-06-26
"WB",1992,1992,6,30,23.6,166,1992-06-30
"EB",1992,1992,6,30,0.05,106,1992-06-30
"EB",1992,1992,6,30,0.05,106,1992-06-30
"EB",1992,1992,7,3,0.05,107,1992-07-03
"WB",1992,1992,7,3,13.1,158,1992-07-03
"WB",1992,1992,7,5,12.3,151,1992-07-05
"WB",1992,1992,7,7,22.2,154,1992-07-07
"WB",1992,1992,7,7,22.7,157,1992-07-07
"EB",1992,1992,7,7,0.05,107,1992-07-07
"WB",1992,1992,7,10,16.1,153,1992-07-10
"WB",1992,1992,7,12,8.5,152,1992-07-12
"WB",1992,1992,7,14,12.9,152,1992-07-14
"WB",1992,1992,7,14,13,152,1992-07-14
"EB",1992,1992,7,14,0.05,104,1992-07-14
"EB",1992,1992,7,17,0.05,105,1992-07-17
"WB",1992,1992,7,17,6.5,153,1992-07-17
"WB",1992,1992,7,19,8.2,153,1992-07-19
"EB",1992,1992,7,21,0.05,107,1992-07-21
"WB",1992,1992,7,21,4.8,151,1992-07-21
"WB",1992,1992,7,21,4.8,151,1992-07-21
"EB",1992,1992,7,24,0.05,107,1992-07-24
"WB",1992,1992,7,24,3.2,146,1992-07-24
"EB",1992,1992,7,26,0.05,108,1992-07-26
"WB",1992,1992,7,26,2,145,1992-07-26
"WB",1992,1992,7,28,2.8,143,1992-07-28
"WB",1992,1992,7,28,2.7,143,1992-07-28
"EB",1992,1992,7,28,0.05,110,1992-07-28
"EB",1992,1992,7,28,0.05,109,1992-07-28
"EB",1992,1992,7,31,0.05,108,1992-07-31
"WB",1992,1992,7,31,0.9,141,1992-07-31
"EB",1992,1992,8,2,0.05,108,1992-08-02
"WB",1992,1992,8,4,2.7,143,1992-08-04
"WB",1992,1992,8,4,2.6,142,1992-08-04
"EB",1992,1992,8,4,0.05,109,1992-08-04
"EB",1992,1992,8,4,0.05,108,1992-08-04
"EB",1992,1992,8,4,0.05,110,1992-08-04
"WB",1992,1992,8,4,2.2,143,1992-08-04
"EB",1992,1992,8,5,0.05,110,1992-08-05
"WB",1992,1992,8,5,2,142,1992-08-05
"EB",1992,1992,8,6,0.05,110,1992-08-06
"WB",1992,1992,8,6,0.9,141,1992-08-06
"WB",1992,1992,8,6,1.1,139,1992-08-06
"EB",1992,1992,8,7,0.05,111,1992-08-07
"EB",1992,1992,8,8,0.05,111,1992-08-08
"WB",1992,1992,8,8,0.8,137,1992-08-08
"EB",1992,1992,8,9,0.05,111,1992-08-09
"WB",1992,1992,8,9,0.8,136,1992-08-09
"EB",1992,1992,8,10,0.05,112,1992-08-10
"WB",1992,1992,8,10,0.7,135,1992-08-10
"WB",1992,1992,8,11,1,138,1992-08-11
"WB",1992,1992,8,11,0.8,140,1992-08-11
"EB",1992,1992,8,11,0.05,113,1992-08-11
"WB",1992,1992,8,11,0.7,139,1992-08-11
"EB",1992,1992,8,12,0.05,114,1992-08-12
"WB",1992,1992,8,12,1.7,139,1992-08-12
"EB",1992,1992,8,13,0.05,111,1992-08-13
"WB",1992,1992,8,13,1.1,140,1992-08-13
"EB",1992,1992,8,14,0.05,112,1992-08-14
"EB",1992,1992,8,14,0.05,112,1992-08-14
"WB",1992,1992,8,14,1.4,138,1992-08-14
"EB",1992,1992,8,14,0.05,110,1992-08-14
"EB",1992,1992,8,14,0.05,111,1992-08-14
"EB",1992,1992,8,14,0.05,112,1992-08-14
"EB",1992,1992,8,15,0.05,111,1992-08-15
"WB",1992,1992,8,15,0.6,136,1992-08-15
"EB",1992,1992,8,16,0.05,112,1992-08-16
"WB",1992,1992,8,16,0.9,134,1992-08-16
"EB",1992,1992,8,17,0.05,113,1992-08-17
"WB",1992,1992,8,17,0.6,134,1992-08-17
"EB",1992,1992,8,18,0.05,101,1992-08-18
"EB",1992,1992,8,18,0.05,102,1992-08-18
"EB",1992,1992,8,18,0.05,103,1992-08-18
"WB",1992,1992,8,18,13.6,153,1992-08-18
"EB",1992,1992,8,19,0.05,109,1992-08-19
"WB",1992,1992,8,19,9.3,160,1992-08-19
"WB",1992,1992,8,19,9.1,156,1992-08-19
"WB",1992,1992,8,21,2.2,152,1992-08-21
"WB",1992,1992,8,23,1.6,143,1992-08-23
"WB",1992,1992,8,25,1.4,144,1992-08-25
"WB",1992,1992,8,25,1.3,144,1992-08-25
"WB",1992,1992,9,4,0.9,127,1992-09-04
"WB",1992,1992,9,6,0.6,130,1992-09-06
"WB",1992,1992,9,8,0.8,135,1992-09-08
"WB",1992,1992,9,8,0.8,134,1992-09-08
"WB",1992,1992,9,22,2.9,129,1992-09-22
"WB",1992,1992,9,22,2.8,127,1992-09-22
"EB",1992,1993,10,9,2,111,1992-10-09
"WB",1992,1993,10,9,0.3,120,1992-10-09
"EB",1992,1993,10,11,0.05,103,1992-10-11
"WB",1992,1993,10,11,10.1,144,1992-10-11
"EB",1992,1993,10,13,0.05,108,1992-10-13
"EB",1992,1993,10,13,0.05,107,1992-10-13
"WB",1992,1993,10,13,6.7,157,1992-10-13
"WB",1992,1993,10,13,5.8,154,1992-10-13
"EB",1992,1993,10,16,0.05,109,1992-10-16
"WB",1992,1993,10,16,2.2,149,1992-10-16
"EB",1992,1993,10,18,0.05,109,1992-10-18
"WB",1992,1993,10,18,1.5,147,1992-10-18
"WB",1992,1993,10,20,2.3,146,1992-10-20
"EB",1992,1993,10,20,0.05,108,1992-10-20
"EB",1992,1993,10,20,0.05,108,1992-10-20
"WB",1992,1993,10,24,8.9,156,1992-10-24
"WB",1992,1993,10,25,16.7,163,1992-10-25
"WB",1992,1993,10,25,27.8,174,1992-10-25
"WB",1992,1993,10,25,39.8,194,1992-10-25
"WB",1992,1993,10,26,39.5,193,1992-10-26
"WB",1992,1993,10,26,39.4,196,1992-10-26
"WB",1992,1993,10,26,40.1,198,1992-10-26
"WB",1992,1993,10,26,39.1,194,1992-10-26
"WB",1992,1993,10,27,33.2,181,1992-10-27
"WB",1992,1993,10,27,33.7,186,1992-10-27
"EB",1992,1993,10,27,0.05,110,1992-10-27
"WB",1992,1993,10,30,23.9,165,1992-10-30
"WB",1992,1993,11,1,22.7,162,1992-11-01
"EB",1992,1993,11,3,0.05,107,1992-11-03
"EB",1992,1993,11,3,0.05,106,1992-11-03
"WB",1992,1993,11,3,21.8,160,1992-11-03
"WB",1992,1993,11,6,30.2,171,1992-11-06
"WB",1992,1993,11,8,28.8,165,1992-11-08
"EB",1992,1993,11,10,0.05,106,1992-11-10
"WB",1992,1993,11,10,27.9,163,1992-11-10
"WB",1992,1993,11,10,27.3,162,1992-11-10
"EB",1992,1993,11,12,0.05,106,1992-11-12
"WB",1992,1993,11,12,30.2,158,1992-11-12
"EB",1992,1993,11,13,0.4,106,1992-11-13
"WB",1992,1993,11,13,28.6,154,1992-11-13
"EB",1992,1993,11,13,0.05,106,1992-11-13
"WB",1992,1993,11,13,34.8,165,1992-11-13
"EB",1992,1993,11,13,0.4,100,1992-11-13
"WB",1992,1993,11,13,42,177,1992-11-13
"EB",1992,1993,11,13,1.2,103,1992-11-13
"WB",1992,1993,11,13,44.8,180,1992-11-13
"EB",1992,1993,11,14,0.05,103,1992-11-14
"WB",1992,1993,11,14,45.1,180,1992-11-14
"EB",1992,1993,11,14,0.05,101,1992-11-14
"WB",1992,1993,11,14,43.3,177,1992-11-14
"EB",1992,1993,11,18,0.05,105,1992-11-18
"EB",1992,1993,11,18,0.05,106,1992-11-18
"WB",1992,1993,11,18,35.2,162,1992-11-18
"WB",1992,1993,11,18,33.9,160,1992-11-18
"EB",1992,1993,11,24,0.05,106,1992-11-24
"EB",1992,1993,11,24,0.05,104,1992-11-24
"WB",1992,1993,11,24,37.9,160,1992-11-24
"WB",1992,1993,11,24,37.8,159,1992-11-24
"EB",1992,1993,12,1,0.3,106,1992-12-01
"EB",1992,1993,12,1,0.4,106,1992-12-01
"WB",1992,1993,12,1,39,157,1992-12-01
"EB",1992,1993,12,4,0.05,104,1992-12-04
"WB",1992,1993,12,4,34.7,146,1992-12-04
"EB",1992,1993,12,6,0.05,104,1992-12-06
"WB",1992,1993,12,6,35.5,151,1992-12-06
"WB",1992,1993,12,8,35.2,148,1992-12-08
"WB",1992,1993,12,8,35,144,1992-12-08
"EB",1992,1993,12,8,0.05,105,1992-12-08
"EB",1992,1993,12,11,1.8,105,1992-12-11
"WB",1992,1993,12,11,35.5,146,1992-12-11
"EB",1992,1993,12,13,1.8,103,1992-12-13
"WB",1992,1993,12,13,34.9,144,1992-12-13
"EB",1992,1993,12,15,1.9,106,1992-12-15
"EB",1992,1993,12,15,1.9,106,1992-12-15
"WB",1992,1993,12,15,34.3,144,1992-12-15
"WB",1992,1993,12,15,33.8,142,1992-12-15
"WB",1992,1993,12,17,35,143,1992-12-17
"WB",1992,1993,12,17,37.3,147,1992-12-17
"WB",1992,1993,12,18,42,160,1992-12-18
"WB",1992,1993,12,18,51.2,173,1992-12-18
"EB",1992,1993,12,18,3.4,106,1992-12-18
"WB",1992,1993,12,18,55,172,1992-12-18
"EB",1992,1993,12,20,1.5,102,1992-12-20
"WB",1992,1993,12,20,55.6,164,1992-12-20
"EB",1992,1993,12,21,1.9,105,1992-12-21
"EB",1992,1993,12,21,2,105,1992-12-21
"WB",1992,1993,12,21,54.6,161,1992-12-21
"WB",1992,1993,12,21,54.6,161,1992-12-21
"EB",1992,1993,12,25,2.2,107,1992-12-25
"EB",1992,1993,12,27,2.3,107,1992-12-27
"EB",1993,1993,1,1,3.1,106,1993-01-01
"EB",1993,1993,1,3,3.2,108,1993-01-03
"EB",1993,1993,1,5,8,99,1993-01-05
"WB",1993,1993,1,5,52.3,155,1993-01-05
"EB",1993,1993,1,8,4.4,102,1993-01-08
"WB",1993,1993,1,8,69.3,161,1993-01-08
"EB",1993,1993,1,10,4.1,109,1993-01-10
"WB",1993,1993,1,10,62.4,158,1993-01-10
"EB",1993,1993,1,12,3.8,106,1993-01-12
"WB",1993,1993,1,12,55,151,1993-01-12
"WB",1993,1993,1,12,55,151,1993-01-12
"EB",1993,1993,1,12,3.7,108,1993-01-12
"EB",1993,1993,1,14,3.5,107,1993-01-14
"WB",1993,1993,1,19,48.7,145,1993-01-19
"WB",1993,1993,1,19,48.9,145,1993-01-19
"EB",1993,1993,1,19,3.8,110,1993-01-19
"EB",1993,1993,1,19,3.7,109,1993-01-19
"WB",1993,1993,1,22,42.4,145,1993-01-22
"WB",1993,1993,1,24,56.1,143,1993-01-24
"WB",1993,1993,1,25,53.7,139,1993-01-25
"WB",1993,1993,1,25,59.4,146,1993-01-25
"WB",1993,1993,1,25,64.1,152,1993-01-25
"WB",1993,1993,1,25,67.7,156,1993-01-25
"WB",1993,1993,1,25,70.1,159,1993-01-25
"EB",1993,1993,1,26,7,103,1993-01-26
"EB",1993,1993,1,26,7,103,1993-01-26
"WB",1993,1993,1,26,72.2,160,1993-01-26
"WB",1993,1993,1,26,71.9,159,1993-01-26
"WB",1993,1993,1,29,60.4,148,1993-01-29
"WB",1993,1993,1,31,56.2,148,1993-01-31
"EB",1993,1993,2,3,4.1,106,1993-02-03
"EB",1993,1993,2,3,4.2,106,1993-02-03
"WB",1993,1993,2,3,48.2,142,1993-02-03
"WB",1993,1993,2,5,48.7,139,1993-02-05
"WB",1993,1993,2,7,48.2,139,1993-02-07
"WB",1993,1993,2,9,46.5,141,1993-02-09
"WB",1993,1993,2,9,46.8,140,1993-02-09
"EB",1993,1993,2,9,4.1,109,1993-02-09
"WB",1993,1993,2,12,43.8,139,1993-02-12
"WB",1993,1993,2,14,49.6,135,1993-02-14
"EB",1993,1993,2,16,5.3,109,1993-02-16
"WB",1993,1993,2,16,44.3,134,1993-02-16
"WB",1993,1993,2,16,46.3,134,1993-02-16
"WB",1993,1993,2,19,53.9,143,1993-02-19
"WB",1993,1993,2,21,50.1,142,1993-02-21
"EB",1993,1993,2,23,4.9,107,1993-02-23
"EB",1993,1993,2,23,5,111,1993-02-23
"WB",1993,1993,2,23,47.7,137,1993-02-23
"WB",1993,1993,2,23,47.7,137,1993-02-23
"WB",1993,1993,2,26,44.9,132,1993-02-26
"WB",1993,1993,2,28,44.2,132,1993-02-28
"WB",1993,1993,3,2,44.6,133,1993-03-02
"EB",1993,1993,3,2,4.4,107,1993-03-02
"EB",1993,1993,3,2,4.4,108,1993-03-02
"WB",1993,1993,3,5,41.9,134,1993-03-05
"WB",1993,1993,3,7,41.5,133,1993-03-07
"WB",1993,1993,3,10,41,135,1993-03-10
"WB",1993,1993,3,10,40.8,134,1993-03-10
"EB",1993,1993,3,10,4,111,1993-03-10
"EB",1993,1993,3,10,3.8,109,1993-03-10
"WB",1993,1993,3,12,39.1,133,1993-03-12
"WB",1993,1993,3,14,38.5,133,1993-03-14
"WB",1993,1993,3,16,37.2,131,1993-03-16
"EB",1993,1993,3,16,3.7,109,1993-03-16
"EB",1993,1993,3,16,3.8,112,1993-03-16
"WB",1993,1993,3,19,50.7,128,1993-03-19
"WB",1993,1993,3,21,45.4,125,1993-03-21
"EB",1993,1993,3,23,5.3,101,1993-03-23
"WB",1993,1993,3,23,45.3,126,1993-03-23
"WB",1993,1993,3,23,44.6,125,1993-03-23
"WB",1993,1993,3,23,42,132,1993-03-23
"WB",1993,1993,3,25,43.8,126,1993-03-25
"WB",1993,1993,3,26,54.4,142,1993-03-26
"WB",1993,1993,3,26,59.7,162,1993-03-26
"EB",1993,1993,3,26,6.9,90,1993-03-26
"WB",1993,1993,3,26,69,180,1993-03-26
"EB",1993,1993,3,27,6.2,92,1993-03-27
"WB",1993,1993,3,27,73.9,187,1993-03-27
"EB",1993,1993,3,27,6.1,94,1993-03-27
"WB",1993,1993,3,27,75.6,188,1993-03-27
"EB",1993,1993,3,27,5.9,94,1993-03-27
"WB",1993,1993,3,27,74.5,187,1993-03-27
"EB",1993,1993,3,27,6,95,1993-03-27
"WB",1993,1993,3,27,67,185,1993-03-27
"EB",1993,1993,3,27,6.2,89,1993-03-27
"WB",1993,1993,3,27,68.4,197,1993-03-27
"EB",1993,1993,3,27,6.8,87,1993-03-27
"WB",1993,1993,3,27,71.8,205,1993-03-27
"EB",1993,1993,3,28,7.2,92,1993-03-28
"WB",1993,1993,3,28,71.5,202,1993-03-28
"EB",1993,1993,3,28,7.5,92,1993-03-28
"EB",1993,1993,3,28,7.6,93,1993-03-28
"EB",1993,1993,3,28,7.7,94,1993-03-28
"EB",1993,1993,3,30,7.5,91,1993-03-30
"EB",1993,1993,3,30,7.6,93,1993-03-30
"WB",1993,1993,3,30,66.3,196,1993-03-30
"WB",1993,1993,3,30,65.3,193,1993-03-30
"WB",1993,1993,3,30,63.2,186,1993-03-30
"EB",1993,1993,3,30,7.4,89,1993-03-30
"WB",1993,1993,3,30,62.5,187,1993-03-30
"EB",1993,1993,3,30,7.2,88,1993-03-30
"WB",1993,1993,3,30,63.2,191,1993-03-30
"EB",1993,1993,3,31,6.3,91,1993-03-31
"WB",1993,1993,3,31,65.3,185,1993-03-31
"EB",1993,1993,4,1,5.8,93,1993-04-01
"WB",1993,1993,4,1,65.4,175,1993-04-01
"EB",1993,1993,4,2,5,96,1993-04-02
"WB",1993,1993,4,2,64.2,168,1993-04-02
"WB",1993,1993,4,3,63.1,168,1993-04-03
"WB",1993,1993,4,4,59.1,161,1993-04-04
"WB",1993,1993,4,5,56.4,157,1993-04-05
"EB",1993,1993,4,6,4.4,97,1993-04-06
"WB",1993,1993,4,6,59.6,161,1993-04-06
"WB",1993,1993,4,6,58.6,157,1993-04-06
"EB",1993,1993,4,6,4.4,95,1993-04-06
"WB",1993,1993,4,6,56.4,154,1993-04-06
"EB",1993,1993,4,7,4.1,92,1993-04-07
"WB",1993,1993,4,7,60.2,158,1993-04-07
"EB",1993,1993,4,8,4.2,93,1993-04-08
"WB",1993,1993,4,8,67.4,168,1993-04-08
"EB",1993,1993,4,9,4.1,92,1993-04-09
"WB",1993,1993,4,9,69.8,174,1993-04-09
"EB",1993,1993,4,10,4.3,93,1993-04-10
"WB",1993,1993,4,10,73.5,181,1993-04-10
"EB",1993,1993,4,10,4.1,93,1993-04-10
"EB",1993,1993,4,10,3.9,92,1993-04-10
"WB",1993,1993,4,11,76.9,198,1993-04-11
"EB",1993,1993,4,11,4.1,93,1993-04-11
"WB",1993,1993,4,11,66.9,203,1993-04-11
"EB",1993,1993,4,11,4.1,94,1993-04-11
"WB",1993,1993,4,11,58.2,198,1993-04-11
"EB",1993,1993,4,11,4.1,94,1993-04-11
"WB",1993,1993,4,11,50.3,192,1993-04-11
"EB",1993,1993,4,11,3.9,94,1993-04-11
"WB",1993,1993,4,11,44.6,188,1993-04-11
"EB",1993,1993,4,11,3.8,92,1993-04-11
"WB",1993,1993,4,11,43.7,187,1993-04-11
"WB",1993,1993,4,11,41.6,188,1993-04-11
"EB",1993,1993,4,11,3.8,91,1993-04-11
"WB",1993,1993,4,11,35.2,175,1993-04-11
"WB",1993,1993,4,12,33.4,174,1993-04-12
"EB",1993,1993,4,12,4.2,93,1993-04-12
"WB",1993,1993,4,12,36.2,179,1993-04-12
"WB",1993,1993,4,12,39,180,1993-04-12
"EB",1993,1993,4,13,5.9,83,1993-04-13
"WB",1993,1993,4,13,47.2,168,1993-04-13
"WB",1993,1993,4,13,47.3,169,1993-04-13
"WB",1993,1993,4,13,48.8,171,1993-04-13
"WB",1993,1993,4,14,50.8,162,1993-04-14
"WB",1993,1993,4,15,51.7,158,1993-04-15
"WB",1993,1993,4,16,51.2,157,1993-04-16
"WB",1993,1993,4,17,49.8,154,1993-04-17
"WB",1993,1993,4,17,55.8,159,1993-04-17
"WB",1993,1993,4,17,63.4,181,1993-04-17
"WB",1993,1993,4,17,65.8,188,1993-04-17
"WB",1993,1993,4,17,66.2,188,1993-04-17
"WB",1993,1993,4,18,66.4,186,1993-04-18
"WB",1993,1993,4,18,66.3,185,1993-04-18
"WB",1993,1993,4,18,64.4,174,1993-04-18
"WB",1993,1993,4,19,61.1,166,1993-04-19
"EB",1993,1993,4,20,3,88,1993-04-20
"EB",1993,1993,4,20,3,88,1993-04-20
"WB",1993,1993,4,20,56.4,155,1993-04-20
"WB",1993,1993,4,20,56.7,155,1993-04-20
"EB",1993,1993,4,21,2.2,90,1993-04-21
"WB",1993,1993,4,21,53.6,156,1993-04-21
"EB",1993,1993,4,22,2.7,85,1993-04-22
"WB",1993,1993,4,22,50.9,153,1993-04-22
"EB",1993,1993,4,22,3.2,86,1993-04-22
"WB",1993,1993,4,22,62.8,158,1993-04-22
"EB",1993,1993,4,22,4,87,1993-04-22
"WB",1993,1993,4,22,69.1,167,1993-04-22
"EB",1993,1993,4,22,4,87,1993-04-22
"WB",1993,1993,4,22,73.4,180,1993-04-22
"EB",1993,1993,4,23,3.8,86,1993-04-23
"WB",1993,1993,4,23,73,177,1993-04-23
"EB",1993,1993,4,23,4.3,87,1993-04-23
"WB",1993,1993,4,23,72.8,175,1993-04-23
"EB",1993,1993,4,23,3.9,86,1993-04-23
"WB",1993,1993,4,23,71.4,173,1993-04-23
"EB",1993,1993,4,24,3.6,87,1993-04-24
"WB",1993,1993,4,24,68.3,169,1993-04-24
"WB",1993,1993,4,27,57,158,1993-04-27
"WB",1993,1993,4,27,57.4,160,1993-04-27
"EB",1993,1993,4,27,1.9,94,1993-04-27
"EB",1993,1993,4,27,1.8,90,1993-04-27
"EB",1993,1993,4,28,1.6,93,1993-04-28
"WB",1993,1993,4,28,57.1,153,1993-04-28
"EB",1993,1993,4,29,1.3,93,1993-04-29
"WB",1993,1993,4,29,60.7,160,1993-04-29
"EB",1993,1993,4,30,1,95,1993-04-30
"WB",1993,1993,4,30,58.9,154,1993-04-30
"EB",1993,1993,5,1,0.8,96,1993-05-01
"WB",1993,1993,5,1,55.7,152,1993-05-01
"EB",1993,1993,5,2,0.5,96,1993-05-02
"WB",1993,1993,5,2,52.7,150,1993-05-02
"EB",1993,1993,5,3,0.5,98,1993-05-03
"EB",1993,1993,5,4,0.5,98,1993-05-04
"EB",1993,1993,5,4,0.6,95,1993-05-04
"WB",1993,1993,5,4,50,147,1993-05-04
"WB",1993,1993,5,4,50.9,150,1993-05-04
"EB",1993,1993,5,5,0.4,99,1993-05-05
"WB",1993,1993,5,5,47,150,1993-05-05
"EB",1993,1993,5,6,0.3,98,1993-05-06
"WB",1993,1993,5,6,45.6,149,1993-05-06
"EB",1993,1993,5,7,0.05,99,1993-05-07
"WB",1993,1993,5,7,46.3,149,1993-05-07
"EB",1993,1993,5,8,0.05,101,1993-05-08
"EB",1993,1993,5,9,0.05,102,1993-05-09
