"","Watershed","Year","WY","Month","Day","NO3 (ueq/L)","SO4 (ueq/L)","DOC (mg/L)","Discharge (L/sec)","Specific Conductance (us/cm)","ANC"
"159","WB",1988,1988,1,12,6.5,102,1.1,NA,"27.4","20.8"
"160","EB",1988,1988,1,18,18.9,106,1.2,NA,"28.8","9.9"
"161","EB",1988,1988,1,19,18.8,106,NA,NA,"29.2","11.0"
"162","WB",1988,1988,1,19,14.7,102,1,NA,"29.3","17.8"
"163","WB",1988,1988,1,26,7.6,101,0.9,NA,"30.2","22.2"
"164","EB",1988,1988,1,27,10.6,108,1.1,NA,"30.9","23.1"
"165","EB",1988,1988,1,27,10.6,107,NA,NA,"M","23.0"
"166","WB",1988,1988,2,2,14.4,99,1.2,NA,"26.7","21.2"
"167","EB",1988,1988,2,2,24.5,102,1.7,NA,"27.1","4.3"
"168","WB",1988,1988,2,8,9.7,103,1.4,NA,"22.3","17.4"
"169","EB",1988,1988,2,9,12.1,105,1.5,NA,"22.1","11.9"
"170","EB",1988,1988,2,9,13,107,2,NA,"21.2","13.2"
"171","WB",1988,1988,2,9,9.6,103,NA,NA,"22.8","17.8"
"172","EB",1988,1988,2,15,16.6,100,1.9,NA,"25.7","13.9"
"173","WB",1988,1988,2,16,14,100,1.2,NA,"26.0","22.0"
"174","WB",1988,1988,2,22,13,109,1.3,NA,"27.6","13.4"
"175","WB",1988,1988,2,23,14.1,109,1.5,NA,"27.6","13.0"
"176","EB",1988,1988,2,23,16.7,104,1.7,NA,"26.5","8.4"
"177","EB",1988,1988,2,23,18.6,105,NA,NA,"26.5","17.4"
"178","EB",1988,1988,3,0,8.4,99,1.3,NA,"23.4","11.4"
"179","WB",1988,1988,3,1,9.1,107,1.1,NA,"24.2","13.9"
"180","EB",1988,1988,3,7,9.4,105,1.4,NA,"26.4","14.0"
"181","EB",1988,1988,3,8,9.7,106,1.3,NA,"26.8","14.4"
"182","WB",1988,1988,3,8,9.7,105,1.1,NA,"26.5","16.6"
"183","WB",1988,1988,3,8,9.3,105,NA,NA,"26.4","16.9"
"184","EB",1988,1988,3,15,10.8,106,1.3,1.047,"28.6","11.4"
"185","EB",1988,1988,3,15,11.6,105,1.3,1.047,"30.4","14.4"
"186","EB",1988,1988,3,15,11.6,104,NA,1.047,"30.1","15.3"
"187","WB",1988,1988,3,15,9.8,106,1,1.076,"28.7","18.4"
"188","WB",1988,1988,3,22,7.8,105,1.1,1.699,"28.8","18.2"
"189","WB",1988,1988,3,22,8.4,106,1.3,1.699,"28.8","18.7"
"190","EB",1988,1988,3,22,9.4,106,1.6,1.614,"28.9","14.6"
"191","EB",1988,1988,3,22,9.9,108,NA,1.614,"29.2","14.4"
"192","EB",1988,1988,3,25,13.6,105,1.4,5.605,"27.1","5.5"
"193","WB",1988,1988,3,25,12,102,1.3,5.152,"27.3","20.3"
"194","WB",1988,1988,3,27,27,96,3.1,135.831,"27.8","-0.3"
"195","EB",1988,1988,3,27,24.4,83,3.5,156.3,"26.8","-4.7"
"196","EB",1988,1988,3,28,21.4,94,2.4,18.656,"25.3","-0.3"
"197","EB",1988,1988,3,28,19.3,92,2.3,18.656,"25.5","0.2"
"198","WB",1988,1988,3,28,24.6,105,2,18.656,"27.3","3.0"
"199","WB",1988,1988,3,28,27.8,103,NA,18.656,"26.5","3.9"
"200","EB",1988,1988,3,29,18.9,95,2,8.974,"24.0","4.4"
"201","EB",1988,1988,3,29,19.4,96,2,8.974,"23.8","3.6"
"202","WB",1988,1988,3,29,22.1,107,1.7,7.729,"25.6","7.2"
"203","EB",1988,1988,4,5,9.2,101,2,4.699,"24.8","5.5"
"204","EB",1988,1988,4,5,10,104,1.8,4.699,"24.8","6.9"
"205","WB",1988,1988,4,5,17.3,110,1.6,5.605,"25.9","7.9"
"206","EB",1988,1988,4,5,9.7,105,1.8,4.699,"24.9","3.9"
"207","EB",1988,1988,4,5,10,102,1.8,4.699,"24.8","4.6"
"208","EB",1988,1988,4,12,6.6,104,1.5,2.236,"24.8","9.7"
"209","EB",1988,1988,4,12,6.2,108,1.5,2.236,"24.4","6.5"
"210","EB",1988,1988,4,12,6.5,104,1.6,2.236,"24.0","5.6"
"211","WB",1988,1988,4,12,12.1,103,1.2,2.831,"24.8","9.9"
"212","EB",1988,1988,4,19,6.7,106,1.5,6.115,"24.3","9.4"
"213","EB",1988,1988,4,19,6.7,106,1.5,6.115,"24.0","9.9"
"214","EB",1988,1988,4,19,7.4,106,1.9,6.115,"23.4","10.2"
"215","WB",1988,1988,4,19,10.8,114,1.4,5.152,"25.8","13.6"
"216","WB",1988,1988,4,19,10.1,109,1.4,5.152,"25.7","13.6"
"217","WB",1988,1988,4,26,7,107,1.4,5.152,"22.1","12.4"
"218","EB",1988,1988,4,26,4.5,104,1.6,5.605,"20.6","6.1"
"219","EB",1988,1988,4,26,4.1,103,1.6,5.605,"21.5","9.0"
"220","EB",1988,1988,4,26,4,104,1.7,5.605,"19.9","7.9"
"221","EB",1988,1988,5,3,5.1,106,1.7,4.699,"22.5","8.3"
"222","EB",1988,1988,5,3,4.9,107,1.6,4.699,"22.5","8.1"
"223","EB",1988,1988,5,3,4.7,106,1.6,4.699,"22.4","8.4"
"224","EB",1988,1988,5,3,4.8,107,1.6,4.699,"22.5","9.3"
"225","WB",1988,1988,5,3,8.2,112,1.3,4.699,"23.7","12.7"
"226","EB",1988,1988,5,10,2,111,1.5,1.699,"22.3","12.8"
"227","WB",1988,1988,5,10,6.2,110,1.3,1.953,"23.2","14.1"
"228","EB",1988,1988,5,17,1.6,108,1.5,2.52,"23.3","13.6"
"229","EB",1988,1988,5,17,1.7,104,1.7,2.52,"23.5","13.9"
"230","EB",1988,1988,5,17,1.4,109,1.5,2.52,"22.9","14.1"
"231","EB",1988,1988,5,17,2.1,109,1.5,2.52,"22.8","14.5"
"232","WB",1988,1988,5,17,4.6,105,1.4,2.236,"23.4","18.9"
"233","EB",1988,1988,5,24,0.05,108,2,1.472,"23.2","19.8"
"234","EB",1988,1988,5,24,0.5,112,2,1.472,"23.3","20.9"
"235","EB",1988,1988,5,24,0.3,109,1.7,1.472,"24.0","16.5"
"236","WB",1988,1988,5,24,1.8,106,1.3,1.274,"24.2","25.9"
"237","WB",1988,1988,5,24,1.8,103,1.4,1.274,"24.0","22.6"
"238","WB",1988,1988,5,31,2,115,1.4,1.699,"23.2","21.3"
"239","EB",1988,1988,5,31,0.05,114,1.4,1.699,"22.8","17.5"
"240","EB",1988,1988,5,31,0.05,114,1.4,1.699,"22.6","17.1"
"241","EB",1988,1988,6,7,0.05,113,1.5,0.51,"24.3","16.7"
"242","EB",1988,1988,6,7,0.05,111,1.5,0.51,"24.0","17.9"
"243","EB",1988,1988,6,7,0.05,113,1.5,0.51,"25.6","31.7"
"244","EB",1988,1988,6,7,0.05,113,1.5,0.51,"25.8","33.4"
"245","WB",1988,1988,6,7,1.4,108,1.3,0.764,"24.5","24.2"
"246","EB",1988,1988,6,14,0.05,112,1.9,0.028,"27.8","50.9"
"247","EB",1988,1988,6,14,0.05,114,1.9,0.028,"28.2","52.7"
"248","WB",1988,1988,6,14,0.05,105,1.6,0.51,"24.6","27.8"
"249","EB",1988,1988,6,21,0.3,116,1.7,0,"30.2","65.6"
"250","EB",1988,1988,6,21,0.3,116,1.7,0,"30.0","66.0"
