"","Watershed","Year","WY","Month","Day","NO3 (ueq/L)","SO4 (ueq/L)","DOC (mg/L)","Discharge (L/sec)","Specific Conductance (us/cm)","ANC"
"3679","WB",1996,1996,3,20,50.4,159,1.4,7.927,"43.0","-15.1"
"3680","EB",1996,1996,3,21,3.4,83,1.8,9.625,"25.3","-6.1"
"3681","WB",1996,1996,3,21,62.2,177,1.4,7.729,"48.0","-18.2"
"3682","EB",1996,1996,3,22,2.9,84,1.8,7.162,"25.5","-7.9"
"3683","WB",1996,1996,3,22,61.6,177,1.4,5.605,"47.9","-17.7"
"3684","EB",1996,1996,3,23,2,83,1.7,5.605,"25.7","-4.2"
"3685","WB",1996,1996,3,23,57.6,175,1.3,3.878,"46.9","-17.7"
"3686","EB",1996,1996,3,24,1.9,86,1.7,4.699,"25.7","-5.4"
"3687","WB",1996,1996,3,24,54.6,171,1.3,3.142,"45.6","-17.0"
"3688","EB",1996,1996,3,25,1.5,86,1.7,3.878,"25.7","-5.2"
"3689","WB",1996,1996,3,25,51.9,170,1.2,2.831,"45.0","-17.6"
"3690","EB",1996,1996,3,26,1.9,82,1.7,9.116,"24.5","-3.4"
"3691","EB",1996,1996,3,26,1.9,82,1.7,9.116,"24.6","-4.4"
"3692","WB",1996,1996,3,26,54.5,173,1.5,5.181,"42.8","-16.9"
"3693","WB",1996,1996,3,26,54.1,173,1.4,5.181,"43.4","-16.9"
"3694","EB",1996,1996,3,27,3.8,82,1.8,7.729,"26.1","-1.4"
"3695","WB",1996,1996,3,27,60.5,180,1.4,5.605,"48.3","-14.2"
"3696","EB",1996,1996,3,28,1.7,82,1.8,5.152,"26.0","0.7"
"3697","WB",1996,1996,3,28,56.2,178,1.6,3.51,"47.1","-13.6"
"3698","EB",1996,1996,3,29,2.4,84,1.7,4.445,"26.1","0.2"
"3699","WB",1996,1996,3,29,53.7,174,1.5,3.142,"45.9","-12.5"
"3700","EB",1996,1996,3,30,1.6,83,1.7,3.878,"26.0","0.5"
"3701","WB",1996,1996,3,30,51.3,171,1.5,2.52,"44.8","-12.2"
"3702","EB",1996,1996,3,31,1.5,82,1.7,3.878,"26.0","1.1"
"3703","WB",1996,1996,3,31,49.2,171,1.5,2.236,"44.1","-12.4"
"3704","EB",1996,1996,4,1,1.1,82,1.8,5.152,"25.7","0.4"
"3705","WB",1996,1996,4,1,48.7,169,2.3,3.114,"43.9","-14.3"
"3706","EB",1996,1996,4,2,1.9,83,1.7,5.605,"25.5","-2.5"
"3707","EB",1996,1996,4,2,1.9,83,1.6,5.605,"25.4","0.0"
"3708","WB",1996,1996,4,2,50,169,1.5,3.142,"43.7","-10.5"
"3709","WB",1996,1996,4,2,49.9,171,1.5,3.142,"43.5","-12.8"
"3710","EB",1996,1996,4,3,1.3,85,1.7,4.699,"24.7","-2.7"
"3711","WB",1996,1996,4,3,46.4,165,1.4,2.831,"39.8","-10.8"
"3712","EB",1996,1996,4,4,1.1,85,1.7,3.878,"24.7","-2.3"
"3713","WB",1996,1996,4,4,44.8,164,1.4,2.52,"39.9","-11.6"
"3714","EB",1996,1996,4,5,1.1,85,1.7,5.294,"24.5","-1.9"
"3715","WB",1996,1996,4,5,45,164,1.4,3.142,"39.9","-12.1"
"3716","EB",1996,1996,4,6,0.9,86,1.8,5.152,"24.4","-3.4"
"3717","EB",1996,1996,4,7,0.05,85,1.8,3.878,"24.6","-2.6"
"3718","WB",1996,1996,4,7,46,169,1.4,2.52,"40.1","-11.4"
"3719","EB",1996,1996,4,8,0.9,86,1.8,3.878,"24.3","-3.5"
"3720","WB",1996,1996,4,8,44.4,166,1.3,2.236,"39.4","-10.9"
"3721","EB",1996,1996,4,9,1,82,1.9,3.51,"24.7","2.2"
"3722","EB",1996,1996,4,9,1,81,1.8,3.51,"24.9","2.1"
"3723","WB",1996,1996,4,9,42.3,159,1.6,1.953,"40.2","-6.4"
"3724","WB",1996,1996,4,9,42.2,158,1.5,1.953,"40.2","-4.5"
"3725","WB",1996,1996,4,9,40.3,155,1.3,1.953,"40.8","-4.7"
"3726","EB",1996,1996,4,10,1,82,1.8,3.51,"25.2","2.2"
"3727","WB",1996,1996,4,10,39.4,156,1.3,2.236,"40.1","-4.2"
"3728","EB",1996,1996,4,11,1.1,81,1.6,2.831,"25.3","2.6"
"3729","EB",1996,1996,4,12,1.2,78,1.6,6.908,"24.6","1.0"
"3730","WB",1996,1996,4,12,37.8,152,1.5,4.275,"39.8","-3.1"
"3731","EB",1996,1996,4,13,1,79,1.8,7.162,"25.1","0.8"
"3732","WB",1996,1996,4,13,44.5,162,1.5,4.558,"42.2","-5.9"
"3733","EB",1996,1996,4,14,0.9,79,1.7,5.605,"24.9","3.6"
"3734","WB",1996,1996,4,14,43.8,163,1.3,3.482,"42.3","-5.3"
"3735","EB",1996,1996,4,15,1.4,81,1.7,5.152,"24.9","2.1"
"3736","WB",1996,1996,4,15,41,160,1.4,3.142,"41.4","-5.8"
"3737","EB",1996,1996,4,16,0.9,80,1.5,5.152,"24.9","1.5"
"3738","EB",1996,1996,4,16,0.9,80,1.6,5.152,"25.0","1.3"
"3739","WB",1996,1996,4,16,43.3,160,1.3,3.51,"42.4","-3.3"
"3740","WB",1996,1996,4,16,43.2,160,1.3,3.51,"42.2","-5.1"
"3741","WB",1996,1996,4,17,42.9,176,2.4,54.638,"41.0","-13.8"
"3742","EB",1996,1996,4,17,1.1,80,2.1,34.821,"23.3","0.7"
"3743","WB",1996,1996,4,17,40.4,163,1.9,29.725,"39.3","-9.7"
"3744","EB",1996,1996,4,17,1.4,77,2.3,22.138,"21.9","0.3"
"3745","WB",1996,1996,4,17,41.1,166,2.1,17.694,"39.6","-10.5"
"3746","EB",1996,1996,4,18,2,73,2.8,19.76,"21.0","-0.8"
"3747","EB",1996,1996,4,18,2.8,73,3.1,18.175,"21.4","-2.6"
"3748","EB",1996,1996,4,18,3.2,75,3,16.76,"21.8","-3.5"
"3749","WB",1996,1996,4,18,48.1,198,2.3,11.805,"43.8","-13.0"
"3750","EB",1996,1996,4,18,3.2,76,2.8,14.381,"22.2","-3.0"
"3751","WB",1996,1996,4,18,48.8,200,1.9,10.984,"43.7","-12.0"
"3752","EB",1996,1996,4,18,2.7,78,2.4,13.702,"22.3","-3.2"
"3753","WB",1996,1996,4,18,48,196,1.9,11.72,"43.2","-12.5"
"3754","EB",1996,1996,4,18,2.3,80,2.7,14.042,"22.3","-2.9"
"3755","WB",1996,1996,4,19,47,192,1.7,9.512,"43.1","-11.7"
"3756","EB",1996,1996,4,19,1.7,80,2.1,17.552,"22.2","-1.9"
"3757","WB",1996,1996,4,19,45.3,191,1.7,13.759,"42.3","-10.3"
"3758","WB",1996,1996,4,20,44.4,192,1.7,15.684,"42.2","-9.7"
"3759","EB",1996,1996,4,23,0.8,81,2.3,14.948,"22.0","-4.0"
"3760","EB",1996,1996,4,23,0.8,82,2.3,14.948,"22.0","-6.9"
"3761","WB",1996,1996,4,23,36.9,196,1.7,11.72,"41.2","-17.1"
"3762","WB",1996,1996,4,23,37.3,197,1.7,11.72,"40.9","-16.3"
"3763","EB",1996,1996,4,24,0.5,81,2.1,12.485,"22.9","-2.1"
"3764","WB",1996,1996,4,24,34.7,187,1.6,9.625,"41.8","-12.3"
"3765","EB",1996,1996,4,25,0.3,81,2.3,8.323,"23.1","-1.4"
"3766","WB",1996,1996,4,25,33.6,187,1.6,7.162,"41.2","-13.7"
"3767","EB",1996,1996,4,26,0.05,81,2.8,6.625,"23.2","-1.9"
"3768","WB",1996,1996,4,26,31.1,178,1.5,5.662,"39.9","-11.5"
"3769","EB",1996,1996,4,27,0.05,82,3.1,6.54,"23.7","-2.0"
"3770","WB",1996,1996,4,27,29.7,175,1.6,5.605,"39.4","-12.0"
"3771","EB",1996,1996,4,28,0.05,82,3,5.152,"23.6","-2.0"
"3772","WB",1996,1996,4,28,29.5,174,1.6,5.152,"39.6","-10.0"
"3773","EB",1996,1996,4,29,0.05,83,1.9,4.275,"23.8","-1.8"
"3774","WB",1996,1996,4,29,27.7,170,1.4,4.275,"39.6","-10.9"
"3775","EB",1996,1996,4,30,0.3,86,1.7,3.51,"23.5","-1.9"
"3776","EB",1996,1996,4,30,0.4,86,1.7,3.51,"23.4","-0.9"
"3777","WB",1996,1996,4,30,28,177,1.4,3.142,"38.4","-8.6"
"3778","WB",1996,1996,4,30,27.9,177,1.4,3.142,"38.3","-9.9"
"3779","EB",1996,1996,5,1,0.05,84,2.1,18.26,"24.2","-2.0"
"3780","WB",1996,1996,5,1,34.9,199,2,17.694,"43.0","-13.1"
"3781","EB",1996,1996,5,2,0.05,85,2.1,8.606,"24.3","-1.2"
"3782","WB",1996,1996,5,2,31.7,191,1.7,6.908,"41.5","-10.5"
"3783","EB",1996,1996,5,3,0.05,86,2.1,5.152,"24.3","-0.4"
"3784","WB",1996,1996,5,3,28.9,185,1.8,4.699,"40.9","-10.9"
"3785","EB",1996,1996,5,4,0.05,85,2,7.162,"24.0","-0.4"
"3786","WB",1996,1996,5,4,28.7,185,1.6,6.115,"40.4","-9.8"
"3787","EB",1996,1996,5,5,0.05,87,1.9,5.152,"24.2","-0.9"
"3788","WB",1996,1996,5,5,26.6,182,1.7,4.699,"40.5","-10.8"
"3789","EB",1996,1996,5,6,0.05,85,1.9,4.275,"24.3","-0.6"
"3790","WB",1996,1996,5,6,26,180,1.6,3.595,"39.4","-9.4"
"3791","EB",1996,1996,5,7,0.05,86,2.1,3.51,"24.2","-1.5"
"3792","EB",1996,1996,5,7,0.05,85,2.1,3.51,"24.0","-1.6"
"3793","WB",1996,1996,5,7,23.9,177,1.7,3.142,"38.9","-10.3"
"3794","WB",1996,1996,5,7,23.9,177,1.5,3.142,"38.9","-9.8"
"3795","EB",1996,1996,5,9,0.05,89,2.1,2.831,"24.4","-0.2"
"3796","WB",1996,1996,5,9,21.9,176,1.6,2.236,"37.6","-11.6"
"3797","EB",1996,1996,5,11,0.05,87,2.2,4.699,"24.6","-0.7"
"3798","WB",1996,1996,5,11,20.6,171,1.7,4.275,"36.8","-9.7"
"3799","EB",1996,1996,5,12,0.05,84,2.3,13.277,"23.4","-1.2"
"3800","WB",1996,1996,5,12,25.9,181,1.8,11.72,"39.1","-12.1"
"3801","EB",1996,1996,5,13,0.05,84,2.4,10.984,"23.2","-1.5"
"3802","WB",1996,1996,5,13,27.8,189,1.9,9.993,"40.6","-14.1"
"3803","WB",1996,1996,5,13,28.8,193,2,9.003,"41.5","-14.1"
"3804","EB",1996,1996,5,13,0.05,84,2.5,10.163,"23.2","-2.4"
"3805","WB",1996,1996,5,13,30.1,202,2,8.974,"42.0","-15.7"
"3806","EB",1996,1996,5,13,0.05,84,2.5,8.38,"23.1","-3.3"
"3807","WB",1996,1996,5,13,31.8,203,1.9,7.927,"43.0","-14.5"
"3808","EB",1996,1996,5,13,0.05,94,2.3,7.729,"23.0","-4.0"
"3809","WB",1996,1996,5,13,31.8,203,1.8,6.625,"42.9","-14.5"
"3810","EB",1996,1996,5,13,0.05,84,2.3,6.908,"23.1","-3.3"
"3811","EB",1996,1996,5,13,0.05,85,2.3,6.625,"23.4","-4.2"
"3812","WB",1996,1996,5,14,28.8,192,1.6,4.699,"40.6","-8.3"
"3813","WB",1996,1996,5,14,28.6,191,1.7,4.699,"38.9","-6.7"
"3814","EB",1996,1996,5,14,0.05,87,2.4,5.605,"23.4","0.5"
"3815","EB",1996,1996,5,14,0.05,86,2.3,5.605,"23.4","0.8"
"3816","EB",1996,1996,5,15,0.05,87,1.9,3.878,"24.2","-2.4"
"3817","WB",1996,1996,5,15,26.3,185,1.6,3.51,"39.7","-8.4"
"3818","EB",1996,1996,5,17,0.05,88,2,5.152,"23.9","-1.1"
"3819","WB",1996,1996,5,18,23.2,177,1.5,3.878,"38.6","-10.5"
"3820","EB",1996,1996,5,19,0.05,88,1.9,3.878,"24.0","-1.0"
"3821","WB",1996,1996,5,19,22.4,182,1.6,3.142,"38.1","-9.9"
"3822","EB",1996,1996,5,20,0.5,85,2.5,12.57,"23.0","-1.2"
"3823","WB",1996,1996,5,20,26.4,178,1.9,16.307,"38.4","-10.8"
"3824","EB",1996,1996,5,20,0.05,85,2.5,23.724,"23.0","-2.7"
"3825","WB",1996,1996,5,20,29.3,188,1.8,18.656,"40.8","-13.0"
"3826","EB",1996,1996,5,20,0.05,86,2.4,18.43,"23.0","-4.6"
"3827","WB",1996,1996,5,20,32.3,198,1.9,15.457,"42.4","13.0"
"3828","EB",1996,1996,5,21,0.05,85,2.3,12.06,"22.9","-3.6"
"3829","EB",1996,1996,5,21,0.05,90,2.2,14.523,"22.8","-2.9"
"3830","EB",1996,1996,5,21,0.05,90,2.3,14.523,"23.0","-1.9"
"3831","WB",1996,1996,5,21,34,203,1.7,12.485,"42.6","-12.6"
"3832","WB",1996,1996,5,21,34.4,202,1.7,12.485,"42.1","-12.0"
"3833","EB",1996,1996,5,24,0.3,89,2.1,2.831,"23.7","-2.9"
"3834","WB",1996,1996,5,24,22.7,189,1.6,3.142,"39.4","-11.8"
"3835","EB",1996,1996,5,26,0.05,90,2.1,2.236,"23.7","-2.9"
"3836","WB",1996,1996,5,26,18.7,181,1.6,2.236,"37.8","-10.0"
"3837","EB",1996,1996,5,28,0.05,89,1.7,1.699,"24.2","-0.3"
"3838","EB",1996,1996,5,28,0.05,90,2,1.699,"24.6","-1.5"
"3839","WB",1996,1996,5,28,15.4,172,1.6,1.925,"36.6","-9.1"
"3840","WB",1996,1996,5,28,15.7,173,1.6,1.925,"36.6","-9.8"
"3841","EB",1996,1996,5,30,0.05,87,1.9,3.878,"23.5","1.2"
"3842","WB",1996,1996,5,30,13.6,171,1.6,3.142,"35.7","-8.3"
"3843","EB",1996,1996,5,31,0.05,87,2.2,8.38,"22.7","1.0"
"3844","WB",1996,1996,5,31,17.8,173,1.6,7.502,"36.7","-8.7"
"3845","EB",1996,1996,5,31,0.05,88,2.2,9.625,"22.7","0.3"
"3846","WB",1996,1996,5,31,20.1,180,1.8,8.323,"38.3","-9.5"
"3847","EB",1996,1996,5,31,0.05,90,2.2,7.615,"22.9","-0.3"
"3848","WB",1996,1996,5,31,18.6,178,1.8,4.784,"38.2","-10.0"
"3849","EB",1996,1996,6,2,0.05,91,2.1,3.142,"23.4","1.0"
"3850","WB",1996,1996,6,2,11.9,172,1.5,1.699,"36.9","-9.7"
"3851","EB",1996,1996,6,4,0.05,90,2.1,10.645,"22.2","1.2"
"3852","EB",1996,1996,6,4,0.05,89,2.1,10.645,"22.2","-1.0"
"3853","WB",1996,1996,6,4,16.4,188,1.5,6.115,"38.3","-8.0"
"3854","WB",1996,1996,6,4,16.3,188,1.5,6.115,"38.2","-9.8"
"3855","EB",1996,1996,6,7,0.05,98,2.3,3.51,"23.5","4.9"
"3856","WB",1996,1996,6,7,12.6,197,1.6,2.831,"38.4","-5.1"
"3857","EB",1996,1996,6,9,0.05,96,2.1,4.303,"23.1","4.7"
"3858","WB",1996,1996,6,9,10.2,195,1.6,3.142,"37.6","-2.6"
"3859","EB",1996,1996,6,11,0.05,95,2.2,4.275,"23.5","-1.9"
"3860","EB",1996,1996,6,11,0.05,95,2.1,4.275,"23.4","-2.7"
"3861","WB",1996,1996,6,11,8.4,190,1.6,2.916,"37.6","-9.4"
"3862","WB",1996,1996,6,11,8.4,189,1.7,2.831,"37.7","-9.9"
"3863","EB",1996,1996,6,14,0.05,94,2,2.236,"23.9","2.0"
"3864","WB",1996,1996,6,14,4.4,178,1.3,1.699,"35.6","-7.1"
"3865","EB",1996,1996,6,16,0.05,93,1.9,1.472,"24.2","3.0"
"3866","WB",1996,1996,6,16,3.1,177,1.6,1.331,"35.6","-6.3"
"3867","EB",1996,1996,6,18,0.05,95,1.8,0.906,"24.2","5.0"
"3868","EB",1996,1996,6,18,0.05,94,1.8,0.906,"36.2","3.4"
"3869","WB",1996,1996,6,18,2.6,172,1.7,1.076,"35.2","-6.0"
"3870","WB",1996,1996,6,18,2.6,172,1.6,1.076,"35.1","-5.4"
"3871","WB",1996,1996,6,20,2.4,171,1.4,0.764,"34.3","-4.6"
"3872","WB",1996,1996,6,21,3.6,169,1.5,2.236,"33.2","-4.3"
"3873","EB",1996,1996,6,23,0.05,90,2.3,7.361,"23.1","2.2"
"3874","EB",1996,1996,6,23,0.05,90,2.2,10.871,"22.6","1.6"
"3875","EB",1996,1996,6,24,0.05,93,2.2,6.625,"22.8","-0.6"
"3876","EB",1996,1996,6,25,0.05,90,2.1,12.626,"22.1","2.0"
"3877","EB",1996,1996,6,25,0.05,91,2.1,12.626,"22.1","2.1"
"3878","WB",1996,1996,6,25,8.7,192,1.7,10.418,"38.4","-5.9"
"3879","WB",1996,1996,6,25,8.7,193,1.7,10.418,"38.2","-5.8"
"3880","EB",1996,1996,6,25,0.05,94,2.1,13.645,"22.1","0.3"
"3881","WB",1996,1996,6,25,11,206,1.5,9.625,"39.4","-9.6"
"3882","EB",1996,1996,6,26,0.05,93,1.9,8.55,"22.1","0.3"
"3883","WB",1996,1996,6,26,11.1,207,1.4,6.766,"39.4","-8.1"
"3884","EB",1996,1996,6,28,0.05,95,1.9,1.953,"22.7","1.6"
"3885","EB",1996,1996,6,30,0.05,97,1.8,1.076,"23.4","1.3"
"3886","EB",1996,1996,7,2,0.05,95,1.5,1.076,"23.9","0.3"
"3887","EB",1996,1996,7,2,0.05,95,1.6,1.076,"23.9","2.7"
"3888","WB",1996,1996,7,2,1,184,1.2,1.076,"35.3","-7.8"
"3889","WB",1996,1996,7,2,1,182,1.2,0.906,"35.4","-6.9"
"3890","EB",1996,1996,7,9,0.05,79,3.5,2.831,"19.7","4.0"
"3891","EB",1996,1996,7,9,0.05,91,2.4,2.831,"21.1","0.4"
"3892","EB",1996,1996,7,9,0.05,86,3.2,2.831,"20.4","1.8"
"3893","EB",1996,1996,7,9,0.05,92,1.7,2.831,"22.6","1.8"
"3894","EB",1996,1996,7,9,0.05,92,1.8,2.831,"22.4","2.9"
"3895","WB",1996,1996,7,9,1.4,187,1.4,2.52,"36.4","-6.8"
"3896","WB",1996,1996,7,9,1.3,189,1.4,2.52,"36.1","-5.7"
"3897","EB",1996,1996,7,9,0.05,88,2.2,2.831,"21.8","3.2"
"3898","EB",1996,1996,7,9,0.05,87,2.8,2.831,"20.6","0.1"
"3899","EB",1996,1996,7,9,0.05,94,2,2.831,"21.7","0.2"
"3900","EB",1996,1996,7,9,0.05,94,2,2.831,"22.2","1.3"
"3901","WB",1996,1996,7,9,0.9,184,1.6,2.52,"35.7","-5.0"
"3902","WB",1996,1996,7,9,11.2,207,2.1,2.52,"39.0","-11.3"
"3903","WB",1996,1996,7,9,7.8,211,1.7,2.52,"39.0","-7.6"
"3904","WB",1996,1996,7,9,2.2,203,1.5,2.52,"37.4","-7.0"
"3905","EB",1996,1996,7,9,0.05,89,2.5,2.236,"20.7","0.7"
"3906","WB",1996,1996,7,12,0.8,185,1.4,1.274,"35.5","-6.6"
"3907","EB",1996,1996,7,12,0.05,74,5,1.076,"18.6",NA
"3908","EB",1996,1996,7,12,0.05,87,2.7,1.076,"19.4","-0.6"
"3909","EB",1996,1996,7,13,0.05,80,4.4,1.076,"18.7","-3.4"
"3910","EB",1996,1996,7,13,0.05,82,3.6,1.076,"19.2","-2.7"
"3911","EB",1996,1996,7,13,0.05,93,1.9,1.699,"22.7","1.4"
"3912","EB",1996,1996,7,13,0.05,85,3.3,1.699,"19.2","-2.1"
"3913","WB",1996,1996,7,13,1.2,179,1.5,1.699,"34.3","-5.9"
"3914","EB",1996,1996,7,13,0.05,79,3.1,26.102,"19.4","2.1"
"3915","EB",1996,1996,7,15,0.05,89,2.8,18.911,"19.6","-1.5"
"3916","EB",1996,1996,7,15,0.05,85,2.4,11.72,"20.0","-0.6"
"3917","WB",1996,1996,7,15,2.9,207,1.8,8.974,"37.3","-10.0"
"3918","EB",1996,1996,7,16,0.05,90,2.3,11.72,"20.0","0.0"
"3919","EB",1996,1996,7,16,0.05,91,2.4,11.72,"20.0","-0.9"
"3920","WB",1996,1996,7,16,3.4,209,1.9,9.625,"36.5","-10.7"
"3921","WB",1996,1996,7,16,3.3,208,1.9,9.625,"36.5","-10.3"
"3922","EB",1996,1996,7,16,0.05,90,2.3,9.625,"20.2","0.3"
"3923","WB",1996,1996,7,16,3.7,206,2.3,8.974,"37.3","-13.6"
"3924","WB",1996,1996,7,17,2.5,204,1.9,7.162,"36.9","-10.8"
"3925","EB",1996,1996,7,17,0.05,90,2.3,5.407,"20.5","1.0"
"3926","WB",1996,1996,7,17,2.2,202,1.7,5.152,"36.7","-10.1"
"3927","EB",1996,1996,7,18,0.05,90,2.9,3.114,"19.4","1.6"
"3928","EB",1996,1996,7,20,0.05,91,2.6,14.155,"20.2","1.9"
"3929","EB",1996,1996,7,20,0.05,91,2.4,9.059,"20.1","0.6"
"3930","EB",1996,1996,7,21,0.05,92,2.2,4.53,"20.5","1.2"
"3931","EB",1996,1996,7,23,0.05,93,2,2.548,"21.4","3.1"
"3932","EB",1996,1996,7,23,0.05,92,2,2.548,"21.3","1.8"
"3933","WB",1996,1996,7,23,1.9,187,1.6,2.236,"34.9","-7.9"
"3934","WB",1996,1996,7,23,1.9,186,1.6,2.236,"34.9","7.4"
"3935","EB",1996,1996,7,24,0.05,97,2.1,3.114,"21.4","3.0"
"3936","WB",1996,1996,7,24,4.4,187,1.5,2.831,"34.9","-7.0"
"3937","EB",1996,1996,7,25,0.05,97,2,3.142,"21.2","2.7"
"3938","WB",1996,1996,7,25,4.3,186,1.5,2.774,"34.9","-8.8"
"3939","EB",1996,1996,7,26,0.05,96,2,6.625,"20.7","2.4"
"3940","WB",1996,1996,7,26,4.5,187,1.6,4.699,"34.6","-6.6"
"3941","EB",1996,1996,7,27,0.05,89,2.3,7.842,"19.6","3.2"
"3942","WB",1996,1996,7,27,4,191,1.7,6.172,"34.8","-6.1"
"3943","EB",1996,1996,7,28,0.05,94,2.4,9.059,"19.7","1.0"
"3944","WB",1996,1996,7,28,3.9,207,2,8.918,"36.4","-8.3"
"3945","EB",1996,1996,7,29,0.05,95,2.2,4.53,"20.5","1.8"
"3946","WB",1996,1996,7,29,3.7,200,1.7,3.878,"35.9","-7.9"
"3947","EB",1996,1996,7,30,0.05,96,1.6,3.68,"20.9","2.8"
"3948","WB",1996,1996,7,30,1.4,193,2,3.142,"35.0","-9.1"
"3949","EB",1996,1996,7,30,0.05,90,1.5,3.68,"20.7","2.6"
"3950","WB",1996,1996,7,30,1.4,192,1.7,2.888,"35.1","-8.4"
"3951","EB",1996,1996,8,2,0.05,93,NA,2.236,"21.2","3.1"
"3952","WB",1996,1996,8,2,3.4,176,1.7,2.236,"33.7","-4.9"
"3953","EB",1996,1996,8,4,0.05,95,NA,1.076,"21.9","3.4"
"3954","WB",1996,1996,8,4,3,173,1.7,1.274,"33.3","-5.6"
"3955","EB",1996,1996,8,6,0.05,95,NA,0.623,"22.4","3.7"
"3956","WB",1996,1996,8,6,2.6,170,1.8,0.764,"33.1","-3.8"
"3957","EB",1996,1996,8,8,0.05,98,2,0.226,"23.2","4.0"
"3958","WB",1996,1996,8,8,2.7,179,1.4,0.623,"32.9","-7.1"
"3959","EB",1996,1996,8,8,2.1,98,1.9,0.226,"23.4","3.7"
"3960","WB",1996,1996,8,8,2.6,176,1.5,0.623,"33.1","-7.7"
"3961","EB",1996,1996,8,11,0.05,96,2,0.226,"23.7","4.9"
"3962","WB",1996,1996,8,11,0.5,164,1.6,0.51,"32.9","-5.7"
"3963","WB",1996,1996,8,13,0.8,165,1.6,0.396,"33.4","-2.6"
"3964","EB",1996,1996,8,13,0.3,98,1.7,0.113,"24.5","10.0"
"3965","EB",1996,1996,8,13,0.2,98,1.7,0.113,"24.5","7.0"
"3966","WB",1996,1996,8,13,1.6,164,1.6,0.396,"33.2","-5.0"
"3967","EB",1996,1996,9,10,0.4,102,1.5,0.226,"25.2","14.7"
"3968","EB",1996,1996,9,10,0.05,101,1.6,0.226,"25.0","12.8"
"3969","WB",1996,1996,9,10,0.5,156,1.2,0.623,"31.0","-0.9"
"3970","EB",1996,1996,9,13,0.05,101,1.5,0.34,"24.0","13.9"
"3971","WB",1996,1996,9,13,0.05,144,1.5,0.51,"27.8","-0.2"
"3972","EB",1996,1996,9,14,0.05,95,2.4,7.644,"21.0","7.1"
"3973","WB",1996,1996,9,14,4.5,170,1.9,5.945,"31.4","1.1"
"3974","WB",1996,1996,9,14,5.1,179,1.7,4.926,"31.9","-0.7"
"3975","EB",1996,1996,9,14,0.05,88,2.6,12.4,"19.7","6.3"
"3976","WB",1996,1996,9,14,2.7,168,2.7,9.201,"31.7","1.6"
"3977","EB",1996,1996,9,15,0.05,85,3.1,21.204,"19.2","3.9"
"3978","WB",1996,1996,9,15,11.1,188,2.5,18.939,"34.0","-4.0"
"3979","EB",1996,1996,9,15,0.05,94,3.3,23.554,"19.4","3.8"
"3980","EB",1996,1996,9,15,0.05,95,2.8,15.825,"19.5","3.2"
"3981","WB",1996,1996,9,15,12.2,205,1.9,12.57,"34.5","-6.3"
"3982","EB",1996,1996,9,15,0.05,96,2.6,11.239,"19.5","2.6"
"3983","WB",1996,1996,9,15,6.5,202,1.8,8.493,"35.4","-6.3"
"3984","EB",1996,1996,9,15,0.05,102,2.4,7.162,"19.5","3.5"
"3985","WB",1996,1996,9,16,11.2,203,1.5,4.53,"34.8","-6.5"
"3986","EB",1996,1996,9,16,0.05,100,2.3,5.152,"19.5","4.3"
"3987","WB",1996,1996,9,17,1.2,200,1.6,2.236,"33.8","-6.3"
"3988","WB",1996,1996,9,17,1.4,200,1.7,2.236,"33.8","-7.1"
"3989","EB",1996,1996,9,17,0.05,100,2.2,3.171,"20.3","5.4"
"3990","EB",1996,1996,9,17,0.05,99,NA,3.171,"20.0","5.8"
"3991","EB",1996,1996,9,20,0.05,100,1.9,1.699,"20.7","3.3"
"3992","WB",1996,1996,9,20,0.9,193,1.4,1.274,"34.5","-6.8"
"3993","EB",1996,1996,9,22,0.05,99,1.8,0.764,"21.7","3.1"
"3994","WB",1996,1996,9,22,0.8,184,1.4,0.623,"33.8","-4.1"
"3995","EB",1996,1996,9,24,0.05,101,1.8,0.764,"22.0","5.6"
"3996","EB",1996,1996,9,24,0.05,103,1.8,0.764,"22.0","4.7"
"3997","WB",1996,1996,9,24,0.6,183,1.4,0.623,"33.4","-5.4"
"3998","WB",1996,1996,9,24,0.8,184,NA,0.623,"33.3","-4.6"
"3999","EB",1996,1996,9,27,0.05,104,1.5,0.623,"22.2","3.1"
"4000","WB",1996,1996,9,27,0.8,183,1,0.51,"33.3","-3.5"
"4001","EB",1996,1996,9,29,0.05,103,1.6,1.274,"22.6","4.9"
"4002","WB",1996,1996,9,29,0.7,183,1.2,0.764,"33.4","-4.1"
"4003","EB",1996,1997,10,1,0.05,106,1.3,0.623,"23.0","5.1"
"4004","EB",1996,1997,10,1,0.05,104,NA,0.623,"23.0","3.0"
"4005","WB",1996,1997,10,1,0.6,182,1.1,0.623,"33.3","-1.5"
"4006","WB",1996,1997,10,1,0.6,184,1.1,0.623,"33.5","-3.5"
"4007","EB",1996,1997,10,4,0.05,103,1.3,0.623,"22.6","2.9"
"4008","WB",1996,1997,10,4,0.6,173,1.2,0.51,"32.7","-3.1"
"4009","EB",1996,1997,10,6,0.05,107,1.4,0.623,"22.6","3.2"
"4010","WB",1996,1997,10,6,0.3,177,1.1,0.566,"32.4","-2.1"
"4011","EB",1996,1997,10,8,0.05,105,1.2,0.623,"23.5","3.2"
"4012","EB",1996,1997,10,8,0.05,106,1.1,0.623,"23.8","4.1"
"4013","WB",1996,1997,10,8,0.4,178,1.6,0.51,"32.5","-3.5"
"4014","WB",1996,1997,10,8,0.05,181,NA,0.51,"32.5","-2.6"
