Site,Watershed,ISCO Number,Record Type,Year,WY,Month,Day,Hour,Season,Julian Day,Running Day of Project,Ca flag,Ca (ueq/L),NMCa (ueq/L),Mg flag,Mg (ueq/L),NMMg (ueq/L),K flag,K (ueq/L),NMK (ueq/L),Na flag,Na (ueq/L),NMNa (ueq/L),Si flag,Si (mg/L),NH4 flag,NH4 (ueq/L),Al flag,Al (ppb),Al-Org flag,Al-Org (PPB),Total N flag,Total N (ppm),Cl flag,Cl (ueq/L),SO4 flag,SO4 (ueq/L),NMSO4 (ueq/L),NO3 flag,NO3 (ueq/L),DOC flag,DOC (mg/L),DIC flag,DIC (mg/L),ANC (ueq/L),Closed-cell pH,Air-equilibrated pH,Specific Conductance (us/cm),Discharge (L/sec),Initial pH,H+ (ueq/L),HCO3 (ueq/L),Unequilibrated pH (older samples),Apparent color flag,Apparent Color (PCU),True color flag,True color (PCU),Total P flag,Total P (ppb),Field Temp (degrees C),Comment,SUVA
EB8,EB,7,ISCO,1992,1992,5,25,16,SPRING,146.7,2337.67,,72,70,,28,15,,6.9,6,,77,21,,2,Half DL,1.4,,90,,,,,,65,,105,98,Half DL,0.05,,2.2,,,4.4,5.47,5.69,24.5,1.274,,2.04,,,,7,,,,,,,
WB3,WB,7,ISCO,1992,1992,5,25,16,SPRING,146.7,2337.67,,111,109,,46,34,,9.7,9,,88,33,,2.6,Half DL,1.4,,104,,,,,,64,,147,140,,41.1,,1.2,,,0.5,5.29,5.39,32.4,1.699,,4.07,,,<RL,4,,,,,,,
EB8,EB,,REG,1992,1992,5,26,11,SPRING,147.5,2338.46,,74,72,,29,16,,6.9,6,,80,23,,2,Half DL,1.4,,114,,55,,,,67,,109,102,Half DL,0.05,,1.7,,0.6,6.8,5.41,5.79,24.1,1.076,,1.62,4.64,,,8,,,,,,,
WB3,WB,,DUP,1992,1992,5,26,11,SPRING,147.5,2338.46,,112,110,,45,33,,10,9,,89,35,,2.6,Half DL,1.4,,130,,39,,,,63,,146,139,,41,,1.1,<RL,0.4,1.6,5.26,5.51,32.7,1.415,,3.09,2.11,,<RL,2,,,,,,,
WB3,WB,,REG,1992,1992,5,26,11,SPRING,147.5,2338.46,,112,109,,45,33,,10,9,,89,35,,2.6,Half DL,1.4,,129,,37,,,,63,,145,138,,41.1,,1,<RL,0.3,2.1,5.28,5.49,32.7,1.415,,3.24,1.89,,<RL,2,,,,,,,
EB8,EB,1,ISCO,1992,1992,5,26,16,SPRING,147.7,2338.67,,72,70,,27,14,,7.2,6,,77,17,,2,Half DL,1.4,,104,,,,,,70,,105,98,Half DL,0.05,,2.2,,,5.4,5.55,5.68,24.3,1.019,,2.09,,,<RL,5,,,,,,,
WB3,WB,1,ISCO,1992,1992,5,26,16,SPRING,147.7,2338.67,,110,108,,44,32,,9.7,8,,87,32,,2.5,Half DL,1.4,,121,,,,,,65,,145,138,,40,,1.5,,,1,5.28,5.36,32.4,1.415,,4.37,,,,,,,,,,,
EB8,EB,2,ISCO,1992,1992,5,27,16,SPRING,148.7,2339.67,,74,72,,29,16,,6.9,6,,80,22,,2,Half DL,1.4,,114,,,,,,68,,108,101,Half DL,0.05,,2.2,,,7.2,5.62,5.77,23.7,0.906,,1.7,,,,7,,,,,,,
WB3,WB,2,ISCO,1992,1992,5,27,16,SPRING,148.7,2339.67,,107,104,,44,31,,10.5,9,,89,35,,2.5,Half DL,1.4,,123,,,,,,63,,139,132,,36.6,,1.4,,,2.4,5.38,5.5,32.4,1.274,,3.16,,,<RL,3,,,,,,,
EB8,EB,3,ISCO,1992,1992,5,28,16,SPRING,149.7,2340.67,,73,71,,28,15,,7.4,6,,80,23,,1.9,<RL,3.32,,107,,,,,,66,,106,99,<RL,0.6,,2.2,,,12.1,5.88,6.1,25,0.623,,0.79,,,,7,,,,,,,
WB3,WB,3,ISCO,1992,1992,5,28,16,SPRING,149.7,2340.67,,107,105,,43,30,,9.2,8,,88,33,,2.6,Half DL,1.4,,117,,,,,,64,,144,137,,35,,1.3,,,2.3,5.35,5.48,31.9,1.076,,3.31,,,<RL,3,,,,,,,
EB8,EB,4,ISCO,1992,1992,5,29,16,SPRING,150.7,2341.67,,75,73,,29,15,,7.2,6,,82,23,,2,Half DL,1.4,,107,,,,,,69,,110,103,Half DL,0.05,,2.2,,,5.8,5.57,5.73,25,0.51,,1.86,,,,7,,,,,,,
WB3,WB,4,ISCO,1992,1992,5,29,16,SPRING,150.7,2341.67,,105,103,,43,30,,9.2,8,,89,34,,2.6,Half DL,1.4,,115,,,,,,64,,143,136,,31.6,,1.3,,,3.5,5.41,5.55,31.6,1.274,,2.82,,,<RL,3,,,,,,,
EB8,EB,5,ISCO,1992,1992,5,30,16,SPRING,151.7,2342.67,,75,73,,29,15,,6.4,5,,84,24,,2.1,Half DL,1.4,,132,,,,,,69,,110,103,Half DL,0.05,,2.3,,,8.9,5.71,5.86,24.3,0.396,,1.38,,,<RL,5,,,,,,,
WB3,WB,5,ISCO,1992,1992,5,30,16,SPRING,151.7,2342.67,,104,102,,41,29,,8.9,8,,90,35,,2.7,Half DL,1.4,,103,,,,,,64,,143,136,,28.2,,1.4,,,2.2,5.39,5.55,30.6,1.076,,2.82,,,<RL,3,,,,,,,
EB8,EB,6,ISCO,1992,1992,5,31,16,SPRING,152.7,2343.67,,75,73,,29,15,,6.1,5,,82,23,,2,Half DL,1.4,,118,,,,,,69,,108,101,Half DL,0.05,,2.1,,,8,5.73,5.92,24.3,0.396,,1.2,,,<RL,5,,,,,,,
WB3,WB,6,ISCO,1992,1992,5,31,16,SPRING,152.7,2343.67,,102,99,,40,28,,7.9,7,,89,33,,2.7,Half DL,1.4,,98,,,,,,65,,143,136,,25.5,,1.3,,,2.8,5.42,5.58,31.4,1.076,,2.63,,,<RL,3,,,,,,,
EB8,EB,7,ISCO,1992,1992,6,1,16,SUMMER,153.7,2344.67,,77,75,,30,16,,6.1,5,,84,23,,2.1,Half DL,1.4,,106,,,,,,70,,109,102,<RL,0.7,,2.3,,,12.6,5.94,6.08,24.4,0.396,,0.83,,,,9,,,,,,,
WB3,WB,7,ISCO,1992,1992,6,1,16,SUMMER,153.7,2344.67,,101,99,,42,29,,7.7,6,,90,34,,2.7,Half DL,1.4,,120,,,,,,65,,143,136,,24.3,,2.2,,,-0.7,M,5.45,30.6,1.076,,3.55,,,,,,,,,,,
EB8,EB,,DUP,1992,1992,6,2,11,SUMMER,154.5,2345.46,,73,71,,28,15,,5.6,4,,81,24,,2,Half DL,1.4,,113,,60,,,,66,,103,96,Half DL,0.05,,1.6,,0.8,10.8,5.47,5.98,23.9,0.396,,1.05,7.03,,<RL,3,,,,,13,,
EB8,EB,,REG,1992,1992,6,2,11,SUMMER,154.5,2345.46,,75,73,,29,15,,5.9,5,,83,23,,2,Half DL,1.4,,111,,59,,,,70,,108,101,<RL,0.3,,1.7,,0.8,12,5.43,5.99,24.7,0.396,,1.02,6.56,,<RL,3,,,,,13,,
WB3,WB,,REG,1992,1992,6,2,11,SUMMER,154.5,2345.46,,97,95,,39,27,,7.7,6,,88,34,,2.6,Half DL,1.4,,94,,46,,,,63,,140,133,,22.6,,1.2,<RL,0.4,5.6,5.39,5.68,30.6,1.274,,2.09,3.42,,<RL,3,,,,,,,
WB3,WB,,REP,1992,1992,6,2,11,SUMMER,154.5,2345.46,,97,95,,39,27,,7.4,6,,88,31,,2.6,Half DL,1.4,,94,,47,,,,66,,141,134,,23.1,,1.2,<RL,0.4,5.8,S,5.68,30.3,1.274,,2.09,,,<RL,3,,,,,,,
EB8,EB,4,ISCO,1992,1992,6,5,16,SUMMER,157.7,2348.67,,71,68,,28,15,,6.6,5,,77,20,,1.7,Half DL,1.4,,130,,,,,,67,,100,93,<RL,0.9,,2.6,,,6.4,5.63,5.74,23.7,0.226,,1.82,,,,12,,,,,,,
WB3,WB,4,ISCO,1992,1992,6,5,16,SUMMER,157.7,2348.67,,93,91,,39,27,,5.9,5,,90,33,,2.7,Half DL,1.4,,110,,,,,,66,,143,136,,17,,1.3,,,5,5.53,5.65,29.8,0.623,,2.24,,,<RL,2,,,,,,,
EB8,EB,5,ISCO,1992,1992,6,6,16,SUMMER,158.7,2349.67,,77,75,,30,17,,5.1,4,,85,25,,2.1,Half DL,1.4,,139,,,,,,70,,107,100,Half DL,0.05,,2.1,,,9.8,5.89,6.09,24.6,5.181,,0.81,,,,7,,,,,,,
WB3,WB,5,ISCO,1992,1992,6,6,16,SUMMER,158.7,2349.67,,102,99,,43,30,,8.2,7,,84,29,,2.2,Half DL,1.4,,140,,,,,,64,,136,129,,29.4,,2.8,,,6.5,5.57,5.7,29,6.115,,2,,,,9,,,,,,,
EB8,EB,6,ISCO,1992,1992,6,6,18,SUMMER,158.8,2349.75,,71,69,,29,16,,6.1,5,,77,22,,1.8,Half DL,1.4,,113,,,,,,65,,100,93,,2.8,,2.6,,,4.9,5.57,5.7,23.9,10.361,,2,,,,8,,,,,,,
WB3,WB,6,ISCO,1992,1992,6,6,18,SUMMER,158.8,2349.75,,117,115,,47,34,,8.7,7,,87,29,,2.2,Half DL,1.4,,184,,,,,,67,,146,139,,45.2,,2.8,,,2.2,5.38,5.46,32.6,10.192,,3.47,,,,7,,,,,,,
EB8,EB,8,ISCO,1992,1992,6,6,22,SUMMER,158.9,2349.92,,72,70,,28,15,,5.6,4,,77,21,,1.8,Half DL,1.4,,137,,,,,,65,,100,93,,3,,2.5,,,5.2,5.58,5.7,24,8.861,,2,,,<RL,4,,,,,,,
WB3,WB,8,ISCO,1992,1992,6,6,22,SUMMER,158.9,2349.92,,124,122,,49,36,,8.7,7,,87,26,,2.1,Half DL,1.4,,223,,,,,,71,,150,143,,57.4,,2.5,,,0.7,5.25,5.33,35.5,10.475,,4.68,,,<RL,4,,,,,,,
EB8,EB,10,ISCO,1992,1992,6,6,24,SUMMER,159,2350,,72,70,,29,16,,5.1,4,,77,21,,1.8,Half DL,1.4,,133,,,,,,66,,101,94,,2.6,,2.4,,,4.5,5.58,5.7,23.7,8.323,,2,,,<RL,4,,,,,,,
WB3,WB,10,ISCO,1992,1992,6,6,24,SUMMER,159,2350,,125,122,,50,36,,8.7,7,,87,26,,2.1,Half DL,1.4,,218,,,,,,71,,149,142,,58.1,,1.9,,,0.2,5.25,5.34,36.7,9.937,,4.57,,,<RL,2,,,,,,,
EB8,EB,11,ISCO,1992,1992,6,7,16,SUMMER,159.7,2350.67,,72,70,,28,15,,5.1,4,,78,22,,1.9,Half DL,1.4,,123,,,,,,66,,104,97,<RL,0.4,,2.2,,,3.8,5.58,5.69,23.3,3.907,,2.04,,,<RL,4,,,,,,,
WB3,WB,12,ISCO,1992,1992,6,7,16,SUMMER,159.7,2350.67,,127,124,,49,35,,8.7,7,,87,23,,2.2,Half DL,1.4,,190,,,,,,74,,151,143,,57,,1.5,,,0.6,5.29,5.37,36.4,4.275,,4.27,,,<RL,2,,,,,,,
EB8,EB,12,ISCO,1992,1992,6,8,16,SUMMER,160.7,2351.67,,73,70,,28,15,,4.6,3,,80,22,,1.9,Half DL,1.4,,122,,,,,,67,,106,99,Half DL,0.05,,2.3,,,3.8,5.62,5.73,23.9,1.925,,1.86,,,<RL,4,,,,,,,
WB3,WB,13,ISCO,1992,1992,6,8,16,SUMMER,160.7,2351.67,,122,120,,48,34,,8.2,7,,89,27,,2.2,Half DL,1.4,,142,,,,,,72,,151,144,,47.1,,1.5,,,0.5,5.34,5.47,33.9,2.52,,3.39,,,<RL,1,,,,,,,
EB8,EB,,REG,1992,1992,6,9,14,SUMMER,161.6,2352.58,,76,73,,29,16,,4.6,3,,82,24,,2,Half DL,1.4,,120,,68,,,,67,,104,97,Half DL,0.05,,2.2,,0.5,7.4,5.41,5.88,23.7,1.104,,1.32,3.81,,<RL,2,,,,,,,
WB3,WB,,DUP,1992,1992,6,9,14,SUMMER,161.6,2352.58,,120,117,,46,32,,7.7,6,,91,30,,2.3,Half DL,1.4,,117,,53,,,,71,,152,145,,37.4,,1.6,<RL,0.4,2.4,S,5.54,33.5,1.557,,2.88,,,<RL,1,,,,,,,
WB3,WB,,REG,1992,1992,6,9,14,SUMMER,161.6,2352.58,,119,117,,45,31,,7.9,7,,90,29,,2.4,Half DL,1.4,,111,,59,,,,72,,151,144,,37.3,,1.6,<RL,0.4,2.6,5.31,5.55,33.2,1.557,,2.82,2.49,,<RL,1,,,,,,,
EB8,EB,4,ISCO,1992,1992,6,12,16,SUMMER,164.7,2355.67,,77,74,,29,15,,3.3,2,,83,22,,2.1,Half DL,1.4,,107,,,,,,71,,106,99,Half DL,0.05,,1.7,,,10.2,5.79,6.03,25.2,0.396,,0.93,,,<RL,1,,,,,,,
WB3,WB,4,ISCO,1992,1992,6,12,16,SUMMER,164.7,2355.67,,105,102,,40,27,,5.6,4,,91,31,,2.6,Half DL,1.4,,104,,,,,,70,,148,141,,18.1,,1.6,,,3.7,5.55,5.69,32.9,0.764,,2.04,,,<RL,1,,,,,,,
EB8,EB,6,ISCO,1992,1992,6,14,16,SUMMER,166.7,2357.67,,80,77,,30,15,,3.6,2,,87,23,,2,Half DL,1.4,,100,,,,,,74,,108,100,<RL,0.3,,2.6,,,11.3,5.89,6.13,25.3,0.311,,0.74,,,,,,,,,,,
WB3,WB,6,ISCO,1992,1992,6,14,16,SUMMER,166.7,2357.67,,102,99,,39,25,,5.1,4,,92,30,,2.7,Half DL,1.4,,92,,,,,,72,,148,141,,13.1,,1.8,,,1.2,M,5.55,32.8,0.623,,2.82,,,<RL,2,,,,,,,
WB3,WB,,REG,1992,1992,6,16,10,SUMMER,168.4,2359.42,,101,98,,39,25,,8.2,7,,97,33,,2.6,Half DL,1.4,,81,,39,,,,74,,146,138,,11.5,,2,,0.7,8.4,5.37,5.73,31.7,0.679,,1.86,4.95,,<RL,5,,,,,,,
WB3,WB,,REP,1992,1992,6,16,10,SUMMER,168.4,2359.42,,100,97,,39,25,,8.2,7,,96,33,,2.7,Half DL,1.4,,80,,40,,,,74,,145,137,,11.4,,2,,0.7,6.3,S,5.73,31.6,0.679,,1.86,,,,8,,,,,,,
EB8,EB,,REG,1992,1992,6,16,16,SUMMER,168.7,2359.67,,81,78,,30,15,,4.1,3,,89,24,,2,Half DL,1.4,,111,,55,,,,76,,110,102,Half DL,0.05,,2.3,,1.1,14.2,5.44,6.17,25.3,0.17,,0.68,9.87,,<RL,2,,,,,,,
EB8,EB,4,ISCO,1992,1992,6,20,16,SUMMER,172.7,2363.67,,88,85,,31,17,,2.3,1,,88,24,,2.2,Half DL,1.4,,101,,,,,,74,,109,101,<RL,0.7,,1.9,,,18.5,5.96,6.39,26.1,0.17,,0.41,,,<RL,1,,,,,,,
EB8,EB,5,ISCO,1992,1992,6,21,16,SUMMER,173.7,2364.67,,85,82,,30,17,,2.3,1,,87,26,,2.1,Half DL,1.4,,99,,,,,,71,,105,98,<RL,0.5,,1.8,,,18.1,5.88,6.38,26.4,0.113,,0.42,,,<RL,0,,,,,,,
WB3,WB,5,ISCO,1992,1992,6,21,16,SUMMER,173.7,2364.67,,94,91,,37,24,,3.3,2,,91,34,,2.8,Half DL,1.4,,86,,,,,,66,,139,132,,5.3,,2.1,,,8.5,5.42,5.87,29.1,0.51,,1.35,,,<RL,0,,,,,,,
WB3,WB,6,ISCO,1992,1992,6,22,12,SUMMER,174.5,2365.5,,106,103,,40,28,,5.4,4,,85,32,,2.3,Half DL,1.4,,109,,,,,,61,,137,131,,19.7,,2,,,10.1,5.47,5.9,30.3,5.86,,1.26,,,,6,,,,,,,
WB3,WB,8,ISCO,1992,1992,6,22,16,SUMMER,174.7,2365.67,,128,125,,46,33,,6.6,5,,84,27,,2,Half DL,1.4,,192,,,,,,66,,147,140,,43.4,,1.8,,,4,5.23,5.48,35.8,13.504,,3.31,,,,8,,,,,,,
WB3,WB,11,ISCO,1992,1992,6,22,22,SUMMER,174.9,2365.92,,136,134,,48,34,,7.4,6,,83,25,,1.9,Half DL,1.4,,325,,,,,,68,,157,150,,62.6,,1.8,,,0.5,5.02,5.17,39.5,20.695,,6.76,,,<RL,3,,,,,,,
WB3,WB,14,ISCO,1992,1992,6,23,4,SUMMER,175.2,2366.17,,142,139,,49,36,,7.7,6,,85,24,,1.9,Half DL,1.4,,385,,,,,,71,,162,155,,70.1,,1.8,,,-1.1,4.97,5.11,41.9,17.128,,7.76,,,<RL,0,,,,,,,
WB3,WB,18,ISCO,1992,1992,6,23,10,SUMMER,175.4,2366.42,,143,140,,49,35,,6.9,6,,86,23,,1.9,Half DL,1.4,,354,,,,,,74,,164,156,,68.3,,1.6,,,-1.3,5.01,5.12,41.3,12.371,,7.59,,,<RL,0,,,,,,,
EB8,EB,,REG,1992,1992,6,23,14,SUMMER,175.6,2366.58,,75,73,,26,14,,3.1,2,,75,22,,1.7,Half DL,1.4,,150,,78,,,,62,,102,96,Half DL,0.05,,2.1,<RL,0.4,5.4,5.4,5.62,23.1,8.974,,2.4,3.08,,<RL,1,,,,,11,,
EB8,EB,,REP,1992,1992,6,23,14,SUMMER,175.6,2366.58,,75,73,,26,14,,3.3,2,,75,23,,1.7,Half DL,1.4,,149,,74,,,,61,,100,94,<RL,0.4,,2,<RL,0.4,4.8,S,5.63,23.1,8.974,,2.34,,,<RL,1,,,,,11,,
WB3,WB,,DUP,1992,1992,6,23,14,SUMMER,175.6,2366.58,,142,140,,50,36,,7.4,6,,87,26,,1.9,Half DL,1.4,,336,,114,,,,71,,160,153,,66,,1.6,<RL,0.3,-2.4,5.04,5.1,39.4,10.22,,7.94,1.01,,<RL,0,,,,,,,
WB3,WB,,REG,1992,1992,6,23,14,SUMMER,175.6,2366.58,,143,140,,50,36,,7.7,6,,87,25,,1.9,Half DL,1.4,,348,,101,,,,72,,163,156,,67.2,,1.5,<RL,0.3,-3.4,5.02,5.08,40.5,10.22,,8.32,1.08,,<RL,0,,,,,10,,
EB8,EB,1,ISCO,1992,1992,6,24,16,SUMMER,176.7,2367.67,,75,72,,26,14,,3.3,2,,77,23,,1.7,Half DL,1.4,,120,,,,,,64,,103,96,Half DL,0.05,,2.9,,,-0.9,M,5.57,23.8,2.831,,2.69,,,,,,,,,,,
WB3,WB,2,ISCO,1992,1992,6,24,16,SUMMER,176.7,2367.67,,134,131,,47,33,,6.1,5,,87,26,,2.1,Half DL,1.4,,225,,,,,,71,,157,150,,50.1,,1.6,,,-1.1,5.11,5.24,39.3,3.199,,5.75,,,<RL,3,,,,,,,
EB8,EB,2,ISCO,1992,1992,6,25,4,SUMMER,177.2,2368.17,,71,69,,25,14,,2.8,2,,72,24,,1.6,Half DL,1.4,,124,,,,,,56,,95,89,Half DL,0.05,,3.1,,,7.6,5.49,5.62,23.2,4.133,,2.4,,,,10,,,,,,,
WB3,WB,3,ISCO,1992,1992,6,25,4,SUMMER,177.2,2368.17,,121,118,,44,31,,6.9,6,,81,26,,1.9,Half DL,1.4,,225,,,,,,64,,149,142,,40.2,,1.8,,,-0.2,5.16,5.29,36.1,4.445,,5.13,,,,8,,,,,,,
EB8,EB,3,ISCO,1992,1992,6,25,6,SUMMER,177.3,2368.25,,72,70,,25,14,,3.6,3,,70,22,,1.6,Half DL,1.4,,137,,,,,,56,,99,93,<RL,0.4,,2.7,,,5.3,5.44,5.54,23.1,12.343,,2.88,,,,8,,,,,,,
WB3,WB,4,ISCO,1992,1992,6,25,6,SUMMER,177.3,2368.25,,124,122,,44,32,,6.9,6,,80,25,,1.8,Half DL,1.4,,328,,,,,,64,,154,147,,49.9,,2,,,-2.9,4.99,5.11,38.7,12.258,,7.76,,,,11,,,,,,,
EB8,EB,4,ISCO,1992,1992,6,25,8,SUMMER,177.3,2368.33,,69,67,,25,14,,3.6,3,,69,22,,1.6,Half DL,1.4,,175,,,,,,54,,96,90,<RL,0.9,,3.1,,,4.6,5.36,5.45,23.2,24.375,,3.55,,,,14,,,,,,,
WB3,WB,5,ISCO,1992,1992,6,25,8,SUMMER,177.3,2368.33,,132,129,,46,33,,7.4,6,,80,25,,1.7,Half DL,1.4,,422,,,,,,65,,161,154,,62,,2.1,,,-4.5,4.92,5,40.3,23.78,,10,,,,8,,,,,,,
EB8,EB,6,ISCO,1992,1992,6,25,12,SUMMER,177.5,2368.5,,69,67,,24,14,,3.1,2,,69,23,,1.6,Half DL,1.4,,171,,,,,,53,,97,92,<RL,0.5,,3,,,5,5.36,5.43,23.2,27.319,,3.72,,,,7,,,,,,,
WB3,WB,7,ISCO,1992,1992,6,25,12,SUMMER,177.5,2368.5,,136,133,,48,36,,7.7,7,,80,27,,1.7,Half DL,1.4,,516,,,,,,62,,159,153,,71.5,,2,,,-6.4,4.85,4.96,43.6,23.441,,11,,,,7,,,,,,,
EB8,EB,7,ISCO,1992,1992,6,25,14,SUMMER,177.6,2368.58,,69,67,,24,13,,3.6,3,,69,23,,1.6,Half DL,1.4,,165,,,,,,54,,98,92,<RL,0.6,,2.7,,,4.9,5.38,5.42,23.2,23.073,,3.8,,,,8,,,,,,,
WB3,WB,8,ISCO,1992,1992,6,25,14,SUMMER,177.6,2368.58,,136,133,,47,34,,7.4,6,,80,24,,1.7,Half DL,1.4,,470,,,,,,65,,165,158,,75.6,,1.8,,,-5.2,4.87,4.93,43.9,20.695,,11.7,,,<RL,5,,,,,,,
EB8,EB,8,ISCO,1992,1992,6,25,16,SUMMER,177.7,2368.67,,69,67,,24,13,,3.6,3,,69,22,,1.6,Half DL,1.4,,164,,,,,,55,,98,92,<RL,0.9,,2.8,,,4.7,5.35,5.44,23.2,18.685,,3.63,,,,8,,,,,,,
WB3,WB,9,ISCO,1992,1992,6,25,16,SUMMER,177.7,2368.67,,135,133,,47,34,,7.9,7,,80,24,,1.5,Half DL,1.4,,472,,,,,,65,,164,157,,75.7,,1.9,,,-4.9,4.88,4.95,43.8,18.09,,11.2,,,<RL,5,,,,,,,
EB8,EB,9,ISCO,1992,1992,6,25,18,SUMMER,177.8,2368.75,,68,66,,24,14,,3.3,2,,68,22,,1.7,Half DL,1.4,,167,,,,,,53,,97,92,<RL,0.4,,2.9,,,3.9,5.34,5.44,23,19.874,,3.63,,,,10,,,,,,,
WB3,WB,10,ISCO,1992,1992,6,25,18,SUMMER,177.8,2368.75,,135,133,,47,34,,7.7,6,,80,23,,1.7,Half DL,1.4,,514,,,,,,66,,167,160,,76.8,,1.9,,,-6.6,4.85,4.93,44.4,18.77,,11.7,,,,6,,,,,,,
EB8,EB,13,ISCO,1992,1992,6,26,2,SUMMER,178.1,2369.08,,68,66,,24,13,,3.1,2,,68,21,,1.5,Half DL,1.4,,161,,,,,,55,,98,92,Half DL,0.05,,2.7,,,4.3,5.37,5.46,23.1,15.174,,3.47,,,,8,,,,,,,
WB3,WB,14,ISCO,1992,1992,6,26,2,SUMMER,178.1,2369.08,,136,134,,47,34,,7.2,6,,81,24,,1.8,Half DL,1.4,,492,,,,,,66,,166,159,,76,,1.8,,,-4.8,4.89,4.97,43.9,14.523,,10.7,,,<RL,4,,,,,,,
EB8,EB,18,ISCO,1992,1992,6,26,12,SUMMER,178.5,2369.5,,68,66,,24,13,,3.1,2,,70,23,,1.6,Half DL,1.4,,147,,,,,,55,,98,92,Half DL,0.05,,2.6,,,4.6,5.39,5.48,23,9.229,,3.31,,,,6,,,,,,,
WB3,WB,19,ISCO,1992,1992,6,26,12,SUMMER,178.5,2369.5,,135,133,,47,34,,6.9,6,,81,25,,1.8,Half DL,1.4,,420,,,,,,66,,165,158,,69.4,,1.7,,,-4.6,4.91,5.01,43,9.456,,9.77,,,<RL,3,,,,,,,
WB3,WB,,REG,1992,1992,6,30,14,SUMMER,182.6,2373.58,,117,115,,41,27,,4.9,3,,89,26,,2.3,Half DL,1.4,,179,,58,,,,73,,166,158,,23.6,,1.3,<RL,0.4,1,5.19,5.31,34.5,1.472,,4.9,2.03,,<RL,2,,,,,12,,
EB8,EB,,DUP,1992,1992,6,30,15,SUMMER,182.6,2373.6,,77,75,,26,13,,3.1,2,,80,24,,1.9,Half DL,1.4,,122,,67,,,,66,,106,99,Half DL,0.05,,2,,0.7,8.7,5.37,5.77,24,1.076,,1.7,5.56,,<RL,4,,,,,,,
EB8,EB,,REG,1992,1992,6,30,15,SUMMER,182.6,2373.6,,77,75,,26,14,,2.8,2,,79,23,,1.8,Half DL,1.4,,117,,63,,,,65,,106,99,Half DL,0.05,,2.1,,0.8,7.5,5.39,5.77,24.3,1.076,,1.7,5.96,,<RL,5,,,,,13,,
EB8,EB,24,ISCO,1992,1992,7,3,16,SUMMER,185.7,2376.67,,79,76,,28,15,,2,1,,80,22,,1.9,Half DL,1.4,,120,,,,,,68,,107,100,Half DL,0.05,,2.1,,,8.2,5.67,5.86,24.2,0.595,,1.38,,,<RL,2,,,,,,,
WB3,WB,4,ISCO,1992,1992,7,3,16,SUMMER,185.7,2376.67,,107,105,,41,28,,3.8,3,,90,32,,2.4,Half DL,1.4,,150,,,,,,68,,158,151,,13.1,,1.6,,,1.9,5.3,5.36,33,1.076,,4.37,,,<RL,2,,,,,,,
WB3,WB,6,ISCO,1992,1992,7,5,16,SUMMER,187.7,2378.67,,102,100,,40,27,,3.3,2,,90,33,,2.5,Half DL,1.4,,127,,,,,,66,,151,144,,12.3,,1.5,,,3.4,5.37,5.49,32,1.274,,3.24,,,<RL,2,,,,,,,
WB3,WB,,DUP,1992,1992,7,7,10,SUMMER,189.4,2380.42,,113,111,,43,29,,4.6,3,,87,28,,2.2,Half DL,1.4,,131,,42,,,,69,,154,147,,22.2,,1.2,<RL,0.3,1.2,5.32,5.47,33.6,2.831,,3.39,2.33,,<RL,2,,,,,,,
WB3,WB,,REG,1992,1992,7,7,10,SUMMER,189.4,2380.42,,115,113,,44,30,,4.3,3,,89,30,,2.2,Half DL,1.4,,131,,42,,,,69,,157,150,,22.7,,1.3,<RL,0.4,1.4,5.25,5.47,33.9,2.831,,3.39,2.07,,<RL,2,,,,,11,,
EB8,EB,,REG,1992,1992,7,7,11,SUMMER,189.5,2380.46,,76,73,,26,14,,2.3,1,,79,23,,1.9,Half DL,1.4,,105,,51,,,,65,,107,100,Half DL,0.05,,1.7,,0.5,5.4,5.46,5.81,24,2.236,,1.55,4.87,,<RL,3,,,,,12,,
WB3,WB,4,ISCO,1992,1992,7,10,16,SUMMER,192.7,2383.67,,111,108,,41,28,,3.8,3,,89,32,,2.3,Half DL,1.4,,102,,,,,,66,,153,146,,16.1,,1.9,,,2.2,5.34,5.53,32.4,2.236,,2.95,,,<RL,1,,,,,,,
WB3,WB,6,ISCO,1992,1992,7,12,16,SUMMER,194.7,2385.67,,105,103,,39,27,,3.6,2,,90,33,,2.4,Half DL,1.4,,102,,,,,,66,,152,145,,8.5,,1.8,,,3.3,5.4,5.63,31.4,0.906,,2.34,,,<RL,1,,,,,,,
WB3,WB,,REG,1992,1992,7,14,12,SUMMER,196.5,2387.5,,109,107,,41,28,,4.1,3,,90,33,,2.3,Half DL,1.4,,107,,47,,,,66,,152,145,,12.9,,1.3,<RL,0.4,3.6,M,5.66,31.7,2.038,,2.19,,,<RL,0,,,,,,,
WB3,WB,,REP,1992,1992,7,14,12,SUMMER,196.5,2387.5,,110,107,,41,28,,3.6,2,,91,34,,2.3,Half DL,1.4,,110,,47,,,,66,,152,145,,13,,1.4,<RL,0.4,2.9,S,5.67,31.8,2.038,,2.14,,,<RL,0,,,,,,,
EB8,EB,,REG,1992,1992,7,14,13,SUMMER,196.5,2387.54,,77,75,,26,14,,2,1,,80,26,,1.9,Half DL,1.4,,110,,64,,,,63,,104,97,Half DL,0.05,,1.7,,0.6,7,M,5.89,23.9,1.953,,1.29,,,<RL,1,,,,,,,
